label,n,win_rate,pf,total_pnl,max_dd,dd_pct
全組み合わせ,27618,42.617133753349265,1.2711645211702056,15182802.350243293,649497.0321328398,64.94970321328398
前週PF TOP6,6224,42.464652956298195,1.2470190958393732,3100592.846556389,316028.41710385773,31.60284171038577
複合スコア TOP6,7161,41.935483870967744,1.2690277807231736,3913973.0724111972,296764.9042950799,29.67649042950799
