session,group,horizon,n,mean_pct,median_pct,skew,kurt
"東京
09-15JST",全ブレイク,1,19467,0.0002962379147514476,0.0006379951640108463,-1.4559805490317406,249.14401623456226
"東京
09-15JST",全ブレイク,3,19467,9.709466847645983e-05,0.0017438920182535043,-3.1226552114352524,176.98210448210062
"東京
09-15JST",全ブレイク,6,19467,0.00033366001578729216,0.003003118237991041,-2.409730068921786,80.93182678660736
"東京
09-15JST",全ブレイク,12,19467,-4.766788284442935e-05,0.003870693048088984,-2.4094941527985925,54.32672001841898
"東京
09-15JST",全ブレイク,24,19467,0.0011959953528261783,0.007246335359757359,2.194704202232441,114.85683007916728
"東京
09-15JST",強弱差大(≤Q25),1,6043,0.0002674066924606811,0.0015102204167146728,-0.8649688333255786,199.02291469749613
"東京
09-15JST",強弱差大(≤Q25),3,6043,-0.00080891157088455,0.005754365327042711,-3.349701994712942,142.87161702041442
"東京
09-15JST",強弱差大(≤Q25),6,6043,-2.2484307346737162e-05,0.005818949215800336,-1.9625092572837277,50.74386460921854
"東京
09-15JST",強弱差大(≤Q25),12,6043,0.0003939490613747669,0.007523443591167149,-1.5783845110315071,30.239120077030478
"東京
09-15JST",強弱差大(≤Q25),24,6043,0.002297954593527792,0.008665023206024122,3.8593599675016876,115.2120985440648
"東京
09-15JST",強弱差極大(≤Q10),1,2354,0.0011706418365602523,0.003426474938971273,0.2827737664110464,54.226220087539495
"東京
09-15JST",強弱差極大(≤Q10),3,2354,0.00013205966323996375,0.007462511587008286,-1.08797247726326,28.913485973709076
"東京
09-15JST",強弱差極大(≤Q10),6,2354,0.004189252839718565,0.00953199485553288,-1.2530806022867453,22.657665190196333
"東京
09-15JST",強弱差極大(≤Q10),12,2354,0.007743186238090879,0.017496694758268996,-1.517872217077049,17.37216786756719
"東京
09-15JST",強弱差極大(≤Q10),24,2354,0.010815483667287091,0.020822074373153924,-0.9753294821190426,9.284604192570793
"欧州
15-21JST",全ブレイク,1,19782,0.0005432466194269163,0.0007428007591755115,40.84487957544385,3505.401564701317
"欧州
15-21JST",全ブレイク,3,19782,0.0017257563313574891,0.0025817697735972785,22.701534236532787,1169.1063504259403
"欧州
15-21JST",全ブレイク,6,19782,0.003134572513014039,0.0040770178465357795,14.23559404245209,571.0473526149063
"欧州
15-21JST",全ブレイク,12,19782,0.004922947658650022,0.005990425860676267,8.40781487502103,260.0186926895845
"欧州
15-21JST",全ブレイク,24,19782,0.009991236832341953,0.011351302233951857,3.8170041885222243,85.01355310190633
"欧州
15-21JST",強弱差大(≤Q25),1,6540,5.660258431249027e-06,0.001984124316351906,-0.3170630318290809,20.306345598553225
"欧州
15-21JST",強弱差大(≤Q25),3,6540,0.00035195577828210113,0.004742497088986679,5.075255699632451,177.5421348024267
"欧州
15-21JST",強弱差大(≤Q25),6,6540,0.0010298374080799282,0.0066833222770262095,1.8182282738779985,56.81009051698666
"欧州
15-21JST",強弱差大(≤Q25),12,6540,0.0014756945389844834,0.007441108831336289,3.9060428288200777,109.15876316092034
"欧州
15-21JST",強弱差大(≤Q25),24,6540,0.005149464737976531,0.012434600050626339,2.5032923399497617,50.69222662830306
"欧州
15-21JST",強弱差極大(≤Q10),1,2639,-0.0005969327522351349,0.0021471898653381825,-0.16116127082883844,17.034387100465647
"欧州
15-21JST",強弱差極大(≤Q10),3,2639,-0.0013520724712892031,0.004999048259182604,0.27749686848674415,28.180370569488286
"欧州
15-21JST",強弱差極大(≤Q10),6,2639,-0.00020918217783106143,0.008114852212704459,0.09584554347418321,16.73054961877025
"欧州
15-21JST",強弱差極大(≤Q10),12,2639,-0.004357572330763445,0.007117811648777569,-0.19731838238948124,8.184362149887509
"欧州
15-21JST",強弱差極大(≤Q10),24,2639,-0.0014038546565969029,0.012446444401991509,0.15784858251009132,11.102170579917237
"NY
21-03JST",全ブレイク,1,19649,0.00011838579909960189,0.0007713222391798292,-0.4282007810102259,75.55335793325789
"NY
21-03JST",全ブレイク,3,19649,0.0009385190797941207,0.002848944228930412,0.06618885196811186,44.96199342810525
"NY
21-03JST",全ブレイク,6,19649,0.0014608220380706465,0.00456165731606314,-0.46127117580989396,26.57160865190127
"NY
21-03JST",全ブレイク,12,19649,0.0013719957619629448,0.0066468369389089494,-0.6512795988996044,16.83344392266049
"NY
21-03JST",全ブレイク,24,19649,0.0021998469085160333,0.014190365425713452,-1.5766505565192213,19.74017225410541
"NY
21-03JST",強弱差大(≤Q25),1,6803,-3.7751966490958595e-06,0.0014872597610918331,-1.097579913646055,63.94209715591195
"NY
21-03JST",強弱差大(≤Q25),3,6803,0.0008277490577160777,0.004666232189448227,-0.4971048218530049,38.11947101386043
"NY
21-03JST",強弱差大(≤Q25),6,6803,0.00022398868473245116,0.0070462350485478754,-0.8356716611751374,23.338560484098632
"NY
21-03JST",強弱差大(≤Q25),12,6803,0.0015791355851947954,0.010268554806201946,-0.767282623408992,14.393241449309986
"NY
21-03JST",強弱差大(≤Q25),24,6803,-0.0004954347596263543,0.013091311919188626,-1.6910530872284997,18.031138460286932
"NY
21-03JST",強弱差極大(≤Q10),1,3521,-0.0005137357046002349,0.0021878534751770353,-1.1724379239977358,62.96922821937994
"NY
21-03JST",強弱差極大(≤Q10),3,3521,-0.0009700543612023169,0.0062339453009719,-1.3850834439703,31.64657888030547
"NY
21-03JST",強弱差極大(≤Q10),6,3521,-0.0017349855323804911,0.007857589059982493,-1.4490446026453914,19.398896718513186
"NY
21-03JST",強弱差極大(≤Q10),12,3521,-0.0007806554039629653,0.015219779498668536,-1.444194040372209,11.806855135008771
"NY
21-03JST",強弱差極大(≤Q10),24,3521,-0.005559433676930483,0.01220942376248938,-2.227917472315854,18.7258078148483
"深夜
03-09JST",全ブレイク,1,18587,2.8624021114036306e-05,0.0003310671784942613,-5.3065668549256335,951.4452212431431
"深夜
03-09JST",全ブレイク,3,18585,0.000467925164733142,0.0007644032685987028,-6.1618311553835685,351.7303802789732
"深夜
03-09JST",全ブレイク,6,18583,0.00021569691245158546,0.0010154225765770825,-3.8249750237624753,152.11941735558037
"深夜
03-09JST",全ブレイク,12,18580,0.0016205684244069744,0.0018573651387311305,-2.0014504465998098,79.37936250060194
"深夜
03-09JST",全ブレイク,24,18574,0.003613808350720307,0.002673988924419782,-0.41359575869356713,31.242388668693636
"深夜
03-09JST",強弱差大(≤Q25),1,3901,0.0006215498473920797,0.0007437377283443145,0.24799410889329446,58.809413402864706
"深夜
03-09JST",強弱差大(≤Q25),3,3901,0.0021509926115364157,0.0023828692129272723,-0.4264487221873385,45.157911882682626
"深夜
03-09JST",強弱差大(≤Q25),6,3901,0.001478644705693078,0.0045095906860338035,-2.366335188645923,54.86245944624969
"深夜
03-09JST",強弱差大(≤Q25),12,3901,0.006984164950452822,0.009241400797579008,-2.162831142894488,52.42513485850807
"深夜
03-09JST",強弱差大(≤Q25),24,3901,0.008968610677499022,0.014231514418863037,-1.0114473215148136,15.547586283873976
"深夜
03-09JST",強弱差極大(≤Q10),1,1150,0.0011236096950129034,0.0014654257109389165,0.24687337725726421,34.71030813183847
"深夜
03-09JST",強弱差極大(≤Q10),3,1150,0.0035846733020221517,0.0032496533015890466,-0.6842742550037548,28.735182890344518
"深夜
03-09JST",強弱差極大(≤Q10),6,1150,0.003256601541101476,0.00792436946008302,-2.5692088019732484,43.086759885073306
"深夜
03-09JST",強弱差極大(≤Q10),12,1150,0.014286971149779748,0.01686235759715119,0.7655555881665026,10.003164813667656
"深夜
03-09JST",強弱差極大(≤Q10),24,1150,0.026331954999967204,0.028358067222148384,-0.6401272885258644,10.361209959689594
