signal_bar,entry_bar,entry_price,exit_price,sl_dist,lot_size,hold_bars,exit_reason,pnl_pips,pnl_yen,r_mult,session,jst_hour,period
2022-01-04 15:25:00,2022-01-04 15:30:00,116.1215,116.09753571428573,0.05203571428571507,9.608785175017013,3,stop,2.3964285714271227,2302.6767330116136,0.4605353466023227,NY   21-03JST,0,IS
2022-01-04 15:30:00,2022-01-04 15:35:00,116.05950000000001,116.09992857142858,0.05442857142857146,9.18635170603674,2,stop,-4.042857142856349,-3713.910761154124,-0.7427821522308248,NY   21-03JST,0,IS
2022-01-04 15:35:00,2022-01-04 15:40:00,116.05250000000001,116.10732142857144,0.05482142857142743,9.120521172638627,1,stop,-5.4821428571429465,-5000.0000000001855,-1.000000000000037,NY   21-03JST,0,IS
2022-01-04 15:45:00,2022-01-04 15:50:00,116.1195,116.01239285714286,0.05789285714285545,8.636644046884891,3,stop,10.710714285714573,9250.462677360172,1.8500925354720343,NY   21-03JST,0,IS
2022-01-04 16:00:00,2022-01-04 16:05:00,115.988,116.05907142857143,0.07107142857142788,7.035175879397053,1,stop,-7.10714285714289,-5000.000000000071,-1.0000000000000142,NY   21-03JST,1,IS
2022-01-04 16:15:00,2022-01-04 16:20:00,116.04650000000001,116.07910714285714,0.06710714285714049,7.450771687067852,2,stop,-3.2607142857131066,-2429.483767960889,-0.4858967535921778,NY   21-03JST,1,IS
2022-01-05 10:05:00,2022-01-05 10:10:00,115.77350000000001,115.80600000000001,0.04300000000000332,11.627906976743288,2,stop,-3.2499999999998863,-3779.0697674414364,-0.7558139534882873,欧州 15-21JST,19,IS
2022-01-05 10:10:00,2022-01-05 10:15:00,115.7825,115.78642857142857,0.04492857142857482,11.128775834657347,7,stop,-0.3928571428573946,-437.2019077903902,-0.08744038155807804,欧州 15-21JST,19,IS
2022-01-05 11:45:00,2022-01-05 11:50:00,115.6275,115.66457142857142,0.037071428571424904,13.487475915222914,1,stop,-3.707142857142287,-4999.999999999725,-0.999999999999945,欧州 15-21JST,20,IS
2022-01-06 02:00:00,2022-01-06 02:05:00,115.8875,115.8877142857143,0.046714285714291544,10.703363914371753,2,stop,-0.021428571429282783,-22.935779817272287,-0.004587155963454458,東京 09-15JST,11,IS
2022-01-06 02:05:00,2022-01-06 02:10:00,115.84100000000001,115.88692857142858,0.04592857142857554,10.886469673404935,1,stop,-4.592857142857554,-5000.0,-1.0,東京 09-15JST,11,IS
2022-01-06 02:15:00,2022-01-06 02:20:00,115.88,115.91514285714285,0.047142857142861976,10.606060606059518,6,stop,-3.5142857142858475,-3727.2727272724865,-0.7454545454544973,東京 09-15JST,11,IS
2022-01-06 02:30:00,2022-01-06 02:35:00,115.8845,115.91035714285714,0.04235714285714615,11.804384485665187,3,stop,-2.5857142857134363,-3052.276559863853,-0.6104553119727706,東京 09-15JST,11,IS
2022-01-06 02:35:00,2022-01-06 02:40:00,115.88550000000001,115.91642857142858,0.040428571428575664,12.367491166076443,2,stop,-3.092857142857497,-3825.088339222652,-0.7650176678445304,東京 09-15JST,11,IS
2022-01-06 02:40:00,2022-01-06 02:45:00,115.876,115.91328571428572,0.03728571428571976,13.409961685821786,1,stop,-3.72857142857157,-4999.999999999455,-0.9999999999998911,東京 09-15JST,11,IS
2022-01-06 09:40:00,2022-01-06 09:45:00,115.68549999999999,115.72625,0.04225000000000177,11.834319526626722,2,stop,-4.075000000000273,-4822.485207100712,-0.9644970414201424,欧州 15-21JST,18,IS
2022-01-10 11:20:00,2022-01-10 11:25:00,115.438,115.35121428571428,0.03471428571428602,14.403292181069833,4,stop,8.678571428572468,12500.000000001388,2.5000000000002776,欧州 15-21JST,20,IS
2022-01-10 11:25:00,2022-01-10 11:30:00,115.4045,115.35303571428571,0.03653571428571212,13.685239491691917,3,stop,5.146428571428885,7043.010752689019,1.4086021505378037,欧州 15-21JST,20,IS
2022-01-10 11:35:00,2022-01-10 11:40:00,115.3885,115.26960714285714,0.03860714285714043,12.950971322850027,5,stop,11.889285714285336,15397.779833487988,3.0795559666975976,欧州 15-21JST,20,IS
