horizon,group,n,mean_pct,median_pct,skew,kurt
1,全ブレイク,77485,0.00025000406993514043,0.00043813625600079407,16.18009444859668,1911.0605876207303
1,強弱差大 (≤Q25),23287,0.00017400008693919196,0.0014505893018966277,-0.7851377580186221,117.04520637204526
1,強弱差極大(≤Q10),9664,6.867478098941698e-05,0.002350365618124081,-0.43444892165540167,50.10176548894806
3,全ブレイク,77483,0.0008152292018066572,0.0017291076248825152,8.259560515385541,646.8870171257739
3,強弱差大 (≤Q25),23287,0.0004910781631105612,0.004259563608343086,-0.04112207107540598,101.47499167489379
3,強弱差極大(≤Q10),9664,-0.00026391120787802233,0.005752140596918242,-0.9131623448303856,30.892849069700077
6,全ブレイク,77481,0.0013063262081015074,0.0028645041783703406,4.0111230707091625,264.63880863924743
6,強弱差大 (≤Q25),23287,0.000596523897397258,0.006074385187311657,-0.6418849232151161,41.06413948656832
6,強弱差極大(≤Q10),9664,0.0007187165904549162,0.008434994526274206,-1.190656256852992,22.042610530177694
12,全ブレイク,77478,0.0019815470967290555,0.004316505964534571,2.044681757758295,129.3743871729439
12,強弱差大 (≤Q25),23287,0.00214796939582784,0.008454243105103685,0.31769823261380636,49.90663563370092
12,強弱差極大(≤Q10),9664,0.0021118746035259004,0.013957817080340057,-1.0382696456123477,12.651065612108091
24,全ブレイク,77472,0.004276083704597355,0.008488923229189416,1.3792614436597912,73.40169431680623
24,強弱差大 (≤Q25),23287,0.0034001866525632573,0.011910859144352132,0.9008365666895398,49.773999965684816
24,強弱差極大(≤Q10),9664,0.0033590499159276304,0.016020127916310974,-1.2853880196726397,15.149416165540075
