ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
7979.T,2023-02-02,2023-02-15,1070.9,972.7,973.6,-9.17,stop_base,13
7979.T,2023-12-11,2024-02-06,1300.9,1289.2,1300.9,-0.9,stop_breakeven,57
7979.T,2024-03-15,2024-04-16,1373.5,1369.3,1373.5,-0.3,stop_breakeven,32
7979.T,2024-05-02,2024-09-05,1539.4,2320.9,1539.4,50.77,time,126
7981.T,2021-09-17,2021-09-28,1426.6,1329.9,1339.0,-6.78,stop_base,11
7981.T,2023-03-08,2023-07-12,1302.5,1666.2,1302.5,27.93,time,126
7981.T,2023-08-28,2023-12-18,1715.3,1538.3,1540.5,-10.32,stop_base,112
7984.T,2021-05-20,2021-09-24,385.4,431.5,385.4,11.95,time,127
7984.T,2022-09-13,2023-01-17,421.6,411.6,387.3,-2.36,time,126
7984.T,2023-02-20,2023-03-14,423.3,416.2,423.3,-1.68,stop_breakeven,22
7984.T,2023-04-28,2023-05-31,443.4,433.6,443.4,-2.22,stop_breakeven,33
7984.T,2023-07-31,2023-12-04,530.5,543.1,530.5,2.39,time,126
7984.T,2024-01-09,2024-05-14,558.6,633.4,558.6,13.4,time,126
7984.T,2024-06-25,2024-07-30,639.2,598.9,610.5,-6.31,stop_base,35
7984.T,2024-12-03,2025-04-03,685.0,675.8,685.0,-1.35,stop_breakeven,121
7988.T,2020-11-20,2021-03-26,3295.6,3567.2,3295.6,8.24,time,126
7988.T,2021-06-09,2021-07-06,3687.6,3614.7,3687.6,-1.98,stop_breakeven,27
7988.T,2023-02-21,2023-06-27,3310.3,3757.4,3310.3,13.51,time,126
7988.T,2023-06-28,2023-09-13,3962.1,3918.5,3962.1,-1.1,stop_breakeven,77
7989.T,2021-03-19,2021-05-14,1275.9,1075.7,1082.6,-15.69,stop_base,56
7989.T,2023-01-25,2023-05-17,1116.9,1110.6,1116.9,-0.57,stop_breakeven,112
7989.T,2023-08-07,2023-10-04,1232.7,1231.8,1232.7,-0.07,stop_breakeven,58
7989.T,2023-11-06,2024-03-11,1327.8,1387.8,1327.8,4.52,time,126
7990.T,2020-10-27,2021-03-02,1472.9,1709.6,1472.9,16.07,time,126
7990.T,2021-03-11,2021-03-23,1885.0,1849.1,1885.0,-1.91,stop_breakeven,12
7990.T,2021-04-12,2021-05-13,2002.6,1602.1,1688.5,-20.0,stop_base,31
7994.T,2021-04-30,2021-09-03,1112.8,1391.6,1112.8,25.06,time,126
7994.T,2021-09-13,2021-10-12,1446.7,1260.5,1271.5,-12.87,stop_base,29
7994.T,2022-11-07,2022-12-21,1252.4,1132.0,1137.6,-9.62,stop_base,44
7994.T,2023-01-24,2023-02-06,1225.8,1107.1,1132.0,-9.68,stop_base,13
