ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
9678.T,2025-05-29,2025-10-02,3200.3,3380.8,3200.3,5.64,time,126
9678.T,2025-10-22,2026-02-25,3595.5,4189.6,3595.5,16.52,time,126
9682.T,2025-06-17,2025-10-21,1236.5,1270.3,1236.5,2.73,time,126
9682.T,2025-10-27,2025-10-29,1332.1,1226.1,1239.9,-7.95,stop_base,2
9684.T,2025-01-28,2025-06-03,2080.2,2955.1,2080.2,42.06,time,126
9684.T,2025-06-16,2025-09-25,3147.1,3135.6,3147.1,-0.36,stop_breakeven,101
9692.T,2025-07-29,2025-10-29,2187.0,2130.0,2187.0,-2.61,stop_breakeven,92
9697.T,2025-01-30,2025-03-07,3525.7,3457.0,3525.7,-1.95,stop_breakeven,36
9697.T,2025-05-29,2025-07-10,4323.2,4280.7,4323.2,-0.98,stop_breakeven,42
9702.T,2025-08-20,2025-12-24,1526.1,1737.3,1526.1,13.84,time,126
9716.T,2025-06-16,2025-10-20,894.2,1016.5,894.2,13.68,time,126
9716.T,2025-10-27,2026-03-02,1048.5,1458.0,1048.5,39.05,time,126
9722.T,2025-06-26,2025-07-23,2206.3,2182.4,2206.3,-1.08,stop_breakeven,27
9722.T,2025-08-18,2025-09-11,2357.5,2077.0,2079.0,-11.9,stop_base,24
9722.T,2025-10-17,2025-11-18,2244.1,2013.3,2035.2,-10.28,stop_base,32
9735.T,2025-08-08,2025-12-12,5691.8,5480.6,5063.9,-3.71,time,126
9743.T,2025-05-29,2025-10-02,1028.7,1318.3,1028.7,28.15,time,126
9744.T,2025-11-21,2026-02-13,3348.1,3329.6,3348.1,-0.55,stop_breakeven,84
9746.T,2025-05-14,2025-09-17,4017.8,4139.2,4017.8,3.02,time,126
9755.T,2025-06-11,2025-09-30,2816.4,2814.0,2816.4,-0.09,stop_breakeven,111
9757.T,2025-08-19,2025-12-03,1263.9,1114.2,1136.8,-11.84,stop_base,106
9759.T,2025-05-29,2025-08-26,3467.2,3190.7,3197.4,-7.98,stop_base,89
9765.T,2025-07-10,2025-11-13,1052.2,1101.2,1052.2,4.66,time,126
9766.T,2025-06-17,2025-07-02,21080.8,20917.3,21080.8,-0.78,stop_breakeven,15
9766.T,2025-08-05,2025-08-26,22844.1,22829.3,22844.1,-0.07,stop_breakeven,21
9766.T,2025-10-21,2025-12-03,22754.7,22575.7,22754.7,-0.79,stop_breakeven,43
9769.T,2025-06-12,2025-10-16,2171.0,2250.2,2171.0,3.64,time,126
9769.T,2025-10-17,2025-10-30,2269.7,2189.5,2214.1,-3.53,stop_base,13
9790.T,2025-02-13,2025-04-07,2978.6,2946.0,2978.6,-1.09,stop_breakeven,53
9790.T,2025-09-26,2025-10-14,3332.0,3033.9,3126.8,-8.94,stop_base,18
