ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
4373.T,2023-02-01,2023-02-22,553.0,537.7,471.5,-2.75,ma200_breach,21
4373.T,2023-03-30,2023-08-03,570.4,631.7,570.4,10.75,time,126
4373.T,2023-08-31,2023-10-27,680.7,589.6,590.5,-13.39,stop_base,57
4384.T,2021-06-25,2021-07-19,2639.7,2679.6,2639.7,1.51,ma200_breach,24
4384.T,2021-09-01,2021-10-01,2913.7,2848.9,2913.7,-2.22,stop_breakeven,30
4384.T,2023-03-07,2023-03-14,1607.7,1583.8,1607.7,-1.49,ma200_breach,7
4385.T,2020-10-07,2020-10-22,5390.0,5080.0,5390.0,-5.75,stop_breakeven,15
4385.T,2021-01-04,2021-05-10,4895.0,5080.0,4895.0,3.78,time,126
4385.T,2021-06-24,2021-07-19,5630.0,5610.0,5630.0,-0.36,ma200_breach,25
4385.T,2021-11-04,2021-11-26,6960.0,7070.0,6960.0,1.58,ma200_breach,22
4385.T,2023-07-19,2023-10-04,3591.0,2929.5,2934.0,-18.42,stop_base,77
4385.T,2023-10-12,2023-11-27,3326.0,2922.5,2929.5,-12.13,stop_base,46
4390.T,2020-10-06,2020-10-30,2255.9,1879.9,1881.8,-16.67,stop_base,24
4390.T,2021-03-01,2021-04-23,3021.8,2414.1,2424.9,-20.11,stop_base,53
4390.T,2022-08-15,2022-09-07,2661.7,2930.7,2661.7,10.11,ma200_breach,23
4390.T,2022-11-09,2022-11-16,3095.6,2732.8,2735.3,-11.72,stop_base,7
4392.T,2021-11-19,2021-11-26,314.9,327.5,249.2,4.0,ma200_breach,7
4392.T,2022-11-18,2022-12-19,386.2,398.0,386.2,3.07,ma200_breach,31
4396.T,2020-01-21,2020-02-27,563.3,645.0,563.3,14.5,ma200_breach,37
4396.T,2022-09-12,2022-09-21,682.2,656.7,593.7,-3.74,ma200_breach,9
4396.T,2022-11-01,2022-11-29,674.8,668.3,674.8,-0.96,stop_breakeven,28
4396.T,2023-01-25,2023-02-22,722.2,815.0,722.2,12.86,ma200_breach,28
4396.T,2023-04-03,2023-04-26,897.5,890.0,897.5,-0.84,stop_breakeven,23
4396.T,2023-06-12,2023-07-12,951.9,942.2,951.9,-1.03,stop_breakeven,30
4396.T,2023-09-01,2023-10-03,951.1,948.8,951.1,-0.25,stop_breakeven,32
4401.T,2021-03-04,2021-05-13,1726.2,1682.4,1726.2,-2.54,stop_breakeven,70
4401.T,2021-06-25,2021-07-19,1758.8,1840.3,1758.8,4.64,ma200_breach,24
4401.T,2021-07-27,2021-07-28,1933.9,1933.0,1642.0,-0.04,ma200_breach,1
4401.T,2021-08-11,2021-08-13,1979.4,2026.6,1740.8,2.39,ma200_breach,2
4401.T,2021-09-02,2021-10-04,2069.5,2078.3,2069.5,0.42,ma200_breach,32
4401.T,2021-11-12,2021-11-26,2268.3,2143.4,1985.5,-5.51,ma200_breach,14
4401.T,2021-12-16,2021-12-17,2298.7,2236.2,2080.9,-2.72,ma200_breach,1
4401.T,2023-07-03,2023-11-06,2567.9,2418.2,2218.5,-5.83,time,126
4401.T,2023-11-10,2024-03-15,2618.2,2929.5,2618.2,11.89,time,126
4401.T,2024-03-18,2024-05-16,3030.2,2976.2,3030.2,-1.78,stop_breakeven,59
4403.T,2020-07-28,2020-07-31,1215.1,1174.7,1094.0,-3.32,ma200_breach,3
4403.T,2020-08-03,2020-09-07,1219.6,1213.6,1219.6,-0.49,stop_breakeven,35
4403.T,2020-11-09,2021-03-15,1286.5,1776.7,1286.5,38.1,time,126
4403.T,2021-03-29,2021-05-19,1797.8,1624.5,1659.1,-9.64,stop_base,51
4403.T,2021-08-12,2021-08-13,1879.5,1897.7,1654.8,0.97,ma200_breach,1
4403.T,2021-09-02,2021-10-01,1922.0,1882.8,1922.0,-2.04,stop_breakeven,29
