ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
4722.T,2025-07-02,2025-08-27,2283.4,2257.7,2283.4,-1.13,stop_breakeven,56
4725.T,2025-07-24,2025-11-27,1983.3,2044.8,1983.3,3.1,time,126
4725.T,2025-12-29,2026-02-05,2047.0,1989.0,1991.1,-2.83,stop_base,38
4732.T,2025-05-14,2025-05-15,1441.6,1461.0,1277.2,1.35,ma200_breach,1
4732.T,2025-05-29,2025-06-02,1510.0,1536.7,1314.5,1.77,ma200_breach,4
4732.T,2025-07-01,2025-11-04,1568.7,1669.1,1568.7,6.4,time,126
4732.T,2025-11-25,2026-03-12,1705.0,1701.6,1705.0,-0.2,stop_breakeven,107
4733.T,2024-01-15,2024-04-16,6788.1,6577.3,6788.1,-3.11,stop_breakeven,92
4733.T,2025-01-29,2025-02-03,7962.9,7569.6,6561.9,-4.94,ma200_breach,5
4733.T,2025-05-29,2025-06-02,7973.4,7991.2,6507.6,0.22,ma200_breach,4
4733.T,2025-06-26,2025-08-28,8388.2,8244.3,8388.2,-1.71,stop_breakeven,63
4733.T,2025-09-16,2026-01-07,8911.2,8237.0,8244.3,-7.57,stop_base,113
4743.T,2024-01-25,2024-05-30,1094.5,1252.2,1094.5,14.41,time,126
4743.T,2024-06-04,2024-08-02,1287.2,1285.4,1287.2,-0.14,ma200_breach,59
4743.T,2024-09-24,2024-10-23,1283.5,1240.3,1199.8,-3.37,ma200_breach,29
4743.T,2024-12-06,2025-01-14,1334.9,1313.3,1249.6,-1.61,ma200_breach,39
4743.T,2025-07-24,2025-11-27,1475.5,1606.9,1475.5,8.91,time,126
4751.T,2025-01-30,2025-02-03,1178.5,1121.5,1023.5,-4.83,ma200_breach,4
4751.T,2025-02-13,2025-02-25,1184.4,1142.8,1023.5,-3.51,ma200_breach,12
4751.T,2025-06-30,2025-10-16,1634.0,1631.0,1634.0,-0.19,stop_breakeven,108
4755.T,2024-04-08,2024-04-19,886.3,743.9,763.2,-16.07,stop_base,11
4755.T,2024-06-03,2024-08-02,840.0,789.1,840.0,-6.06,ma200_breach,60
4755.T,2024-11-13,2024-11-18,964.9,881.1,885.7,-8.68,ma200_breach,5
4755.T,2024-12-12,2025-01-14,970.0,901.7,834.2,-7.04,ma200_breach,33
4755.T,2025-02-13,2025-02-25,1012.0,961.3,851.3,-5.01,ma200_breach,12
4765.T,2024-01-30,2024-05-29,604.5,602.1,604.5,-0.4,stop_breakeven,120
4768.T,2024-01-15,2024-04-19,2947.5,2947.0,2947.5,-0.02,stop_breakeven,95
4768.T,2024-09-26,2024-10-23,3411.4,3212.9,3167.3,-5.82,ma200_breach,27
4768.T,2025-02-06,2025-02-25,3529.9,3434.8,3241.5,-2.7,ma200_breach,19
4776.T,2024-12-20,2025-01-14,2580.9,2570.2,2580.9,-0.42,ma200_breach,25
4776.T,2025-02-14,2025-02-25,3136.3,3062.3,2518.9,-2.36,ma200_breach,11
4776.T,2025-06-12,2025-06-13,3540.6,3491.3,2853.2,-1.39,ma200_breach,1
4776.T,2025-06-26,2025-09-02,3688.6,3589.9,3688.6,-2.67,stop_breakeven,68
4792.T,2024-01-31,2024-02-09,1650.8,1516.7,1520.3,-8.12,stop_base,9
4792.T,2024-05-10,2024-08-02,1786.7,1761.8,1786.7,-1.39,ma200_breach,84
