pair,source_pair,case_type,direction,entry_time,exit_time,exit_reason,entry_spread,sort_score,price_pnl,capital_pnl
EURJPY,EURJPY,B,SHORT,2026-04-30 08:45:00+00:00,2026-04-30 13:45:00+00:00,time_limit,0.10911540328311053,0.10911540328311053,1.6475129805046285,8.237564902523143
USDJPY,USDJPY,B,SHORT,2026-04-30 10:05:00+00:00,2026-04-30 15:05:00+00:00,time_limit,0.10391932548032135,0.10391932548032135,1.570291885422126,7.85145942711063
CHFJPY,CHFJPY,B,SHORT,2026-04-30 08:25:00+00:00,2026-04-30 13:25:00+00:00,time_limit,0.1109881707958995,0.1109881707958995,1.4321079590523755,7.160539795261878
NZDJPY,NZDJPY,B,SHORT,2026-04-30 08:45:00+00:00,2026-04-30 13:45:00+00:00,time_limit,0.11307577301237648,0.11307577301237648,1.2595701880130372,6.297850940065186
AUDUSD,AUDUSD,B,LONG,2026-04-07 17:35:00+00:00,2026-04-07 22:35:00+00:00,time_limit,-0.10374513448353417,0.10374513448353417,0.9599762447345617,4.799881223672808
GBPUSD,GBPUSD,B,LONG,2026-04-07 19:15:00+00:00,2026-04-08 00:00:00+00:00,day_end,-0.1094029210953345,0.1094029210953345,0.8992027415290149,4.496013707645075
AUDUSD,AUDUSD,B,LONG,2026-04-07 22:35:00+00:00,2026-04-08 00:00:00+00:00,day_end,-0.3955709081064005,0.3955709081064005,0.7784304531021968,3.892152265510984
EURAUD,EURAUD,B,SHORT,2026-04-07 18:20:00+00:00,2026-04-07 23:20:00+00:00,time_limit,0.20156263000284536,0.20156263000284536,0.7508865797422049,3.7544328987110243
AUDJPY,AUDJPY,B,LONG,2026-04-07 22:05:00+00:00,2026-04-08 00:00:00+00:00,day_end,-0.18439349635701374,0.18439349635701374,0.7114297630242294,3.5571488151211472
AUDJPY,AUDJPY,B,SHORT,2026-04-30 10:25:00+00:00,2026-04-30 15:25:00+00:00,time_limit,0.1800560277919776,0.1800560277919776,0.5875881288036622,2.937940644018311
GBPJPY,GBPJPY,B,SHORT,2026-04-30 10:25:00+00:00,2026-04-30 15:25:00+00:00,time_limit,0.20588375584588103,0.20588375584588103,0.5442716405922754,2.721358202961377
NZDUSD,NZDUSD,B,LONG,2026-04-13 14:05:00+00:00,2026-04-13 19:05:00+00:00,time_limit,-0.1946982215340327,0.1946982215340327,0.523359190678474,2.61679595339237
EURAUD,EURAUD,B,LONG,2026-03-20 14:05:00+00:00,2026-03-20 19:05:00+00:00,time_limit,-0.11015942170436768,0.11015942170436768,0.4993803525771945,2.4969017628859724
NZDJPY,NZDJPY,B,LONG,2026-04-13 12:00:00+00:00,2026-04-13 17:00:00+00:00,time_limit,-0.10998776794371395,0.10998776794371395,0.46753397409415864,2.337669870470793
NZDUSD,NZDUSD,B,LONG,2026-04-09 11:50:00+00:00,2026-04-09 16:50:00+00:00,time_limit,-0.1309361807402199,0.1309361807402199,0.4646747740214119,2.3233738701070594
USDJPY,USDJPY,B,SHORT,2026-05-06 04:25:00+00:00,2026-05-06 09:25:00+00:00,time_limit,0.16691918200739742,0.16691918200739742,0.46209857010808264,2.310492850540413
GBPUSD,GBPUSD,B,SHORT,2026-04-02 01:15:00+00:00,2026-04-02 06:15:00+00:00,time_limit,0.18208819146627195,0.18208819146627195,0.4536706522477951,2.2683532612389756
AUDJPY,AUDJPY,B,LONG,2026-04-13 12:15:00+00:00,2026-04-13 17:15:00+00:00,time_limit,-0.10464352391075255,0.10464352391075255,0.4489344271997986,2.244672135998993
NZDUSD,NZDUSD,B,SHORT,2026-03-23 05:30:00+00:00,2026-03-23 10:30:00+00:00,time_limit,0.1196106165575489,0.1196106165575489,0.4470514551316418,2.235257275658209
CHFJPY,CHFJPY,B,SHORT,2026-03-23 06:05:00+00:00,2026-03-23 11:05:00+00:00,time_limit,0.1453121362953698,0.1453121362953698,0.4400784791682488,2.200392395841244
