pair,trades,win_rate,avg_pnl,total_pnl
USDJPY,48,0.3125,-0.05104887470578726,-2.4503459858777887
EURJPY,46,0.2826086956521739,-0.06138175747607022,-2.82356084389923
AUDNZD,44,0.38636363636363635,-0.14805209950431972,-6.514292378190067
AUDUSD,110,0.41818181818181815,-0.15999785359600913,-17.599763895561004
NZDUSD,130,0.43846153846153846,-0.14820181973639154,-19.2662365657309
NZDJPY,96,0.34375,-0.22333815121244996,-21.440462516395197
GBPUSD,146,0.3767123287671233,-0.15805441070870327,-23.075943963470678
EURGBP,123,0.21138211382113822,-0.2122093702345781,-26.101752538853106
EURAUD,87,0.3218390804597701,-0.3093503695076519,-26.913482147165713
AUDJPY,67,0.2537313432835821,-0.4118975581464861,-27.59713639581457
GBPJPY,122,0.3114754098360656,-0.2378934240874245,-29.02299773866579
CHFJPY,156,0.26282051282051283,-0.2157476561837371,-33.656634364662985
