signal_bar,entry_bar,entry_price,exit_price,pnl_yen,r_mult,hold_bars,direction,session,jst_hour,month,strategy
2024-01-04 00:00:00,2024-01-04 00:05:00,142.93099999999998,142.88832142857143,-3902.67798824185,-0.78053559764837,2,long,東京 09-15JST,9,2024-01,戦略B 逆張りロング
2024-01-04 00:05:00,2024-01-04 00:10:00,142.933,142.87557142857142,-5000.000000000707,-1.0000000000001414,1,long,東京 09-15JST,9,2024-01,戦略B 逆張りロング
2024-01-04 00:10:00,2024-01-04 00:15:00,142.9135,143.16835714285713,21545.89371980812,4.309178743961624,6,long,東京 09-15JST,9,2024-01,戦略B 逆張りロング
2024-01-04 00:15:00,2024-01-04 00:20:00,142.93,143.16610714285713,19229.203025014835,3.8458406050029668,5,long,東京 09-15JST,9,2024-01,戦略B 逆張りロング
2024-01-05 05:40:00,2024-01-05 05:45:00,144.6695,145.17378571428569,52296.29629629028,10.459259259258056,9,long,東京 09-15JST,14,2024-01,戦略B 逆張りロング
2024-01-08 01:10:00,2024-01-08 01:15:00,144.5375,144.47364285714286,-4999.999999999206,-0.9999999999998412,1,long,東京 09-15JST,10,2024-01,戦略B 逆張りロング
2024-01-08 01:15:00,2024-01-08 01:20:00,144.4525,144.4340357142857,-1300.956215400218,-0.2601912430800436,2,long,東京 09-15JST,10,2024-01,戦略B 逆張りロング
2024-01-08 01:20:00,2024-01-08 01:25:00,144.4785,144.40835714285714,-4999.999999999855,-0.999999999999971,1,long,東京 09-15JST,10,2024-01,戦略B 逆張りロング
2024-01-08 01:30:00,2024-01-08 01:35:00,144.4205,144.35978571428572,-4323.49949135281,-0.8646998982705619,2,long,東京 09-15JST,10,2024-01,戦略B 逆張りロング
2024-01-08 01:40:00,2024-01-08 01:45:00,144.3755,144.48810714285716,7886.443221612529,1.5772886443225058,11,long,東京 09-15JST,10,2024-01,戦略B 逆張りロング
2024-01-08 01:45:00,2024-01-08 01:50:00,144.3775,144.48707142857143,7564.102564101812,1.5128205128203625,10,long,東京 09-15JST,10,2024-01,戦略B 逆張りロング
2024-01-08 01:55:00,2024-01-08 02:00:00,144.3775,144.4912142857143,8326.35983263704,1.6652719665274078,8,long,東京 09-15JST,10,2024-01,戦略B 逆張りロング
2024-01-08 14:35:00,2024-01-08 14:40:00,144.27300000000002,144.16885714285712,5860.128617366501,1.1720257234733003,3,short,NY   21-03JST,23,2024-01,戦略A 順張りショート
2024-01-08 14:40:00,2024-01-08 14:45:00,144.212,144.16974999999996,2353.760445684029,0.47075208913680583,2,short,NY   21-03JST,23,2024-01,戦略A 順張りショート
2024-01-08 14:50:00,2024-01-08 14:55:00,144.1175,144.12935714285715,-648.9444878809531,-0.12978889757619064,4,short,NY   21-03JST,23,2024-01,戦略A 順張りショート
2024-01-08 15:00:00,2024-01-08 15:05:00,144.0765,144.16414285714285,-4730.146491903849,-0.9460292983807698,2,short,NY   21-03JST,0,2024-01,戦略A 順張りショート
2024-01-08 16:40:00,2024-01-08 16:45:00,143.80700000000002,143.907,-4999.999999999796,-0.9999999999999593,1,short,NY   21-03JST,1,2024-01,戦略A 順張りショート
2024-01-08 17:00:00,2024-01-08 17:05:00,143.83499999999998,143.92260714285712,-4397.6335604159585,-0.8795267120831917,3,short,NY   21-03JST,2,2024-01,戦略A 順張りショート
2024-01-09 00:50:00,2024-01-09 00:55:00,143.9145,143.8884642857143,-1462.0938628158767,-0.29241877256317533,2,long,東京 09-15JST,9,2024-01,戦略B 逆張りロング
