label,n,μ(%),Skew,Kurt,VaR95(%),CVaR95(%),P(r>σ)%,P(r<-σ)%,TailRatio,OmegaRatio,Strategy,score_short,score_long,pair,base,quote,session,group
Q25,7309,0.00116,0.4067,8.572,-0.1882,-0.28344,10.78,11.59,0.9492,1.0278,▲LONG（強）,1,3,EURJPY,EUR,JPY,"NY
21-03JST",Q25
Q10,3557,0.0015,0.6494,7.776,-0.21827,-0.30397,10.96,12.03,0.9221,1.0311,▲LONG（強）,1,3,EURJPY,EUR,JPY,"NY
21-03JST",Q10
Q10+ac>0,1266,0.0023,1.1378,9.982,-0.21038,-0.30283,10.74,11.45,0.9525,1.0477,▲LONG（強）,1,3,EURJPY,EUR,JPY,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2291,0.00105,0.3235,6.15,-0.22085,-0.30371,10.96,12.57,0.9227,1.0219,▲LONG（強）,1,3,EURJPY,EUR,JPY,"NY
21-03JST",Q10+ac<0
全BreakDown,18805,0.0024,-1.224,75.361,-0.09058,-0.17679,7.04,6.54,1.0383,1.1165,▲LONG（強）,1,3,EURJPY,EUR,JPY,"深夜
03-09JST",全BreakDown
Q25,3587,0.00489,-2.5059,52.436,-0.12688,-0.23988,7.75,7.25,0.9378,1.1815,▽short（中）,2,2,EURJPY,EUR,JPY,"深夜
03-09JST",Q25
Q10,1001,0.00546,-3.2636,49.482,-0.15528,-0.3199,7.19,6.79,1.0317,1.155,▲LONG（強）,1,3,EURJPY,EUR,JPY,"深夜
03-09JST",Q10
Q10+ac>0,386,0.01282,-0.9075,9.575,-0.16756,-0.29811,11.92,8.55,1.1829,1.3556,▲LONG（強）,1,3,EURJPY,EUR,JPY,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,615,0.00084,-4.6025,70.974,-0.14049,-0.33133,4.55,5.53,0.8728,1.0242,▽short（中）,2,2,EURJPY,EUR,JPY,"深夜
03-09JST",Q10+ac<0
全BreakDown,19986,0.0018,-1.3552,79.833,-0.12354,-0.2295,6.8,6.93,0.9845,1.0629,▽short（中）,2,2,GBPJPY,GBP,JPY,"東京
09-15JST",全BreakDown
Q25,5662,0.00285,-1.068,30.768,-0.1537,-0.27949,7.61,8.14,0.9667,1.0812,▽short（中）,2,2,GBPJPY,GBP,JPY,"東京
09-15JST",Q25
Q10,1928,0.00165,-1.5336,22.527,-0.21286,-0.38102,7.83,8.25,0.9217,1.0344,▽short（中）,2,2,GBPJPY,GBP,JPY,"東京
09-15JST",Q10
Q10+ac>0,712,0.00406,-2.2014,22.205,-0.21228,-0.46719,6.18,6.04,0.964,1.0774,▽short（中）,2,2,GBPJPY,GBP,JPY,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1216,0.00024,-0.4944,17.277,-0.21422,-0.33014,8.72,9.46,0.8844,1.0052,▽short（中）,2,2,GBPJPY,GBP,JPY,"東京
09-15JST",Q10+ac<0
全BreakDown,20410,0.00098,8.2765,296.843,-0.17844,-0.28426,7.83,8.22,0.948,1.0244,▲LONG（強）,1,3,GBPJPY,GBP,JPY,"欧州
15-21JST",全BreakDown
Q25,7186,-0.0035,0.106,7.879,-0.21434,-0.31872,10.59,12.18,0.8441,0.9275,▼SHORT（強）,3,0,GBPJPY,GBP,JPY,"欧州
15-21JST",Q25
Q10,3397,-0.00692,0.0063,7.095,-0.2578,-0.38048,10.21,12.22,0.7877,0.8805,▼SHORT（強）,3,0,GBPJPY,GBP,JPY,"欧州
15-21JST",Q10
Q10+ac>0,1461,-0.00764,-0.4908,1.907,-0.27237,-0.39329,10.54,12.59,0.7781,0.8712,▼SHORT（強）,4,0,GBPJPY,GBP,JPY,"欧州
15-21JST",Q10+ac>0
