label,n,μ(%),Skew,Kurt,VaR95(%),CVaR95(%),P(r>σ)%,P(r<-σ)%,TailRatio,OmegaRatio,Strategy,score_short,score_long,pair,base,quote,session,group
Q25,7172,-0.00053,-0.8052,17.414,-0.15371,-0.23996,10.82,11.52,1.0056,0.9856,▼SHORT（強）,3,1,GBPUSD,GBP,USD,"欧州
15-21JST",Q25
Q10,3096,5e-05,0.1538,4.746,-0.17511,-0.2651,11.56,12.4,0.9665,1.0012,△long（中）,1,2,GBPUSD,GBP,USD,"欧州
15-21JST",Q10
Q10+ac>0,1236,-0.00188,-0.1932,3.638,-0.18588,-0.28188,11.49,12.62,0.8962,0.9567,▼SHORT（強）,3,0,GBPUSD,GBP,USD,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1860,0.00134,0.4005,5.515,-0.17027,-0.25345,11.61,12.31,1.0048,1.033,▲LONG（強）,0,4,GBPUSD,GBP,USD,"欧州
15-21JST",Q10+ac<0
全BreakDown,20430,4e-05,0.1036,16.153,-0.16493,-0.26716,9.75,9.91,0.992,1.0011,△long（中）,1,2,GBPUSD,GBP,USD,"NY
21-03JST",全BreakDown
Q25,7862,0.00255,0.1467,10.266,-0.17663,-0.26595,11.28,10.56,1.038,1.0644,▲LONG（強）,0,3,GBPUSD,GBP,USD,"NY
21-03JST",Q25
Q10,4225,0.00142,0.0446,5.481,-0.18919,-0.27948,11.83,11.64,1.0198,1.0326,▲LONG（強）,0,3,GBPUSD,GBP,USD,"NY
21-03JST",Q10
Q10+ac>0,1507,-0.00316,-0.2713,2.889,-0.19489,-0.27529,12.67,13.74,0.9498,0.9307,▼SHORT（強）,4,0,GBPUSD,GBP,USD,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2718,0.00396,0.1784,6.492,-0.18571,-0.28155,11.59,10.71,1.0737,1.0931,▲LONG（強）,0,3,GBPUSD,GBP,USD,"NY
21-03JST",Q10+ac<0
全BreakDown,18746,0.00107,-0.5013,107.122,-0.07234,-0.13585,6.44,6.64,0.9747,1.0655,▽short（中）,2,2,GBPUSD,GBP,USD,"深夜
03-09JST",全BreakDown
Q25,3949,0.00185,5.1404,103.807,-0.09394,-0.14866,7.98,8.08,0.9593,1.0875,▲LONG（強）,1,3,GBPUSD,GBP,USD,"深夜
03-09JST",Q25
Q10,1383,0.00071,3.9161,75.515,-0.12259,-0.17989,9.47,10.2,0.9382,1.0268,▲LONG（強）,1,3,GBPUSD,GBP,USD,"深夜
03-09JST",Q10
Q10+ac>0,457,0.00402,5.7266,84.827,-0.12429,-0.20662,7.66,7.0,0.9335,1.1403,▲LONG（強）,1,3,GBPUSD,GBP,USD,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,926,-0.00093,-0.0264,3.297,-0.11916,-0.16673,11.34,11.88,0.9232,0.963,▼SHORT（強）,3,0,GBPUSD,GBP,USD,"深夜
03-09JST",Q10+ac<0
全BreakDown,19994,0.00134,0.6564,32.57,-0.14987,-0.23329,10.28,10.11,0.9928,1.0388,▲LONG（強）,1,3,AUDUSD,AUD,USD,"東京
09-15JST",全BreakDown
Q25,6012,0.00344,0.3546,44.927,-0.16566,-0.25055,10.01,10.21,0.9622,1.0927,▲LONG（強）,1,3,AUDUSD,AUD,USD,"東京
09-15JST",Q25
Q10,2169,0.00496,-2.931,38.718,-0.17835,-0.28813,11.11,10.33,0.9922,1.1247,▽short（中）,2,2,AUDUSD,AUD,USD,"東京
09-15JST",Q10
Q10+ac>0,858,0.00999,-4.2561,46.759,-0.1818,-0.343,9.56,7.58,1.1017,1.2374,▲LONG（強）,1,3,AUDUSD,AUD,USD,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1311,0.00167,-0.2119,2.679,-0.17754,-0.25232,12.59,12.97,0.9282,1.0435,▽short（中）,2,2,AUDUSD,AUD,USD,"東京
09-15JST",Q10+ac<0
全BreakDown,20406,-0.00098,-15.9281,634.641,-0.15442,-0.24646,7.49,7.99,0.9601,0.9731,▼SHORT（強）,4,0,AUDUSD,AUD,USD,"欧州
15-21JST",全BreakDown
Q25,6615,-0.00035,-10.6781,438.612,-0.16733,-0.2559,8.99,9.92,0.9086,0.991,▼SHORT（強）,4,0,AUDUSD,AUD,USD,"欧州
15-21JST",Q25
Q10,2636,0.00468,0.4882,6.777,-0.18365,-0.25321,12.67,12.52,0.9265,1.116,▲LONG（強）,1,3,AUDUSD,AUD,USD,"欧州
15-21JST",Q10
Q10+ac>0,945,-0.00551,-0.3558,1.48,-0.20698,-0.27932,12.28,14.18,0.7898,0.8805,▼SHORT（強）,4,0,AUDUSD,AUD,USD,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1691,0.01037,0.9118,9.213,-0.17058,-0.2343,12.71,11.41,1.0213,1.2792,▲LONG（強）,0,4,AUDUSD,AUD,USD,"欧州
15-21JST",Q10+ac<0
全BreakDown,20555,-0.00056,0.4132,15.33,-0.19793,-0.31333,9.37,10.05,0.9723,0.9878,▼SHORT（強）,3,1,AUDUSD,AUD,USD,"NY
21-03JST",全BreakDown
Q25,7863,0.00177,0.5863,7.563,-0.20065,-0.2923,11.18,11.43,1.011,1.0382,▲LONG（強）,0,4,AUDUSD,AUD,USD,"NY
21-03JST",Q25
Q10,4048,0.00168,0.4558,3.731,-0.21946,-0.29987,12.35,12.33,0.9938,1.0337,▲LONG（強）,1,3,AUDUSD,AUD,USD,"NY
21-03JST",Q10
Q10+ac>0,1497,0.00388,0.5827,5.458,-0.20456,-0.2799,12.76,12.09,1.0274,1.0821,▲LONG（強）,0,4,AUDUSD,AUD,USD,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2551,0.00039,0.3958,2.898,-0.23254,-0.30987,11.96,12.5,0.966,1.0076,▲LONG（強）,1,3,AUDUSD,AUD,USD,"NY
21-03JST",Q10+ac<0
全BreakDown,18736,0.00081,-0.4179,80.367,-0.10491,-0.21357,5.77,6.22,0.9558,1.0331,▽short（中）,2,2,AUDUSD,AUD,USD,"深夜
03-09JST",全BreakDown
Q25,3691,0.00595,4.4111,77.614,-0.13821,-0.23084,7.02,6.91,0.9457,1.2037,▲LONG（強）,1,3,AUDUSD,AUD,USD,"深夜
03-09JST",Q25
Q10,1257,0.00417,2.9008,54.464,-0.17028,-0.29039,7.48,8.27,0.9524,1.1111,▲LONG（強）,1,3,AUDUSD,AUD,USD,"深夜
03-09JST",Q10
Q10+ac>0,508,0.00082,5.6386,86.548,-0.19493,-0.28405,6.89,9.65,0.8449,1.0198,▲LONG（強）,1,3,AUDUSD,AUD,USD,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,749,0.00644,-0.0571,12.327,-0.14539,-0.28596,8.14,7.08,1.1014,1.1849,▲LONG（強）,0,3,AUDUSD,AUD,USD,"深夜
03-09JST",Q10+ac<0
全BreakDown,20012,0.00032,0.6473,21.613,-0.14309,-0.21476,10.46,10.96,0.9789,1.0095,▲LONG（強）,1,3,NZDUSD,NZD,USD,"東京
09-15JST",全BreakDown
Q25,6077,0.00165,1.7944,27.561,-0.15239,-0.2176,10.24,11.29,0.9712,1.0471,▲LONG（強）,1,3,NZDUSD,NZD,USD,"東京
09-15JST",Q25
Q10,2154,0.0098,3.0786,31.132,-0.16362,-0.21773,10.4,9.1,1.0058,1.281,▲LONG（強）,0,4,NZDUSD,NZD,USD,"東京
09-15JST",Q10
Q10+ac>0,745,0.02111,4.8837,48.336,-0.14061,-0.19277,9.8,5.64,1.2766,1.7133,▲LONG（強）,0,4,NZDUSD,NZD,USD,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1409,0.00381,1.3946,10.226,-0.17337,-0.22681,11.21,11.92,0.9182,1.1013,▲LONG（強）,1,3,NZDUSD,NZD,USD,"東京
09-15JST",Q10+ac<0
全BreakDown,20464,-0.00097,-3.8845,84.483,-0.15467,-0.23972,10.58,10.76,0.9717,0.9738,▼SHORT（強）,4,0,NZDUSD,NZD,USD,"欧州
15-21JST",全BreakDown
Q25,6483,0.00167,-0.7211,7.978,-0.16326,-0.24464,12.86,11.99,0.9747,1.0445,▽short（中）,2,2,NZDUSD,NZD,USD,"欧州
15-21JST",Q25
Q10,2550,0.00318,-0.5352,6.603,-0.18458,-0.27511,12.82,11.92,0.9349,1.0774,▽short（中）,2,2,NZDUSD,NZD,USD,"欧州
15-21JST",Q10
Q10+ac>0,930,0.00129,-0.6087,9.022,-0.18329,-0.30649,10.86,10.54,0.9534,1.0298,▽short（中）,2,2,NZDUSD,NZD,USD,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1620,0.00426,-0.4577,3.918,-0.18426,-0.2569,14.57,12.16,0.9262,1.1073,▽short（中）,2,2,NZDUSD,NZD,USD,"欧州
15-21JST",Q10+ac<0
全BreakDown,20548,0.00023,0.2114,14.856,-0.19189,-0.30673,9.48,9.86,0.9981,1.0052,▲LONG（強）,1,3,NZDUSD,NZD,USD,"NY
21-03JST",全BreakDown
Q25,7748,0.00397,0.8515,10.455,-0.19506,-0.2845,11.38,10.83,1.0375,1.0896,▲LONG（強）,0,4,NZDUSD,NZD,USD,"NY
21-03JST",Q25
Q10,3985,0.00508,0.6946,6.884,-0.20594,-0.29569,11.62,11.34,1.0762,1.1059,▲LONG（強）,0,4,NZDUSD,NZD,USD,"NY
21-03JST",Q10
Q10+ac>0,1409,0.01064,1.333,10.86,-0.20551,-0.27786,12.56,10.57,1.0758,1.232,▲LONG（強）,0,4,NZDUSD,NZD,USD,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2576,0.00203,0.3087,4.329,-0.20594,-0.3055,11.26,11.92,1.0807,1.0415,▲LONG（強）,0,4,NZDUSD,NZD,USD,"NY
21-03JST",Q10+ac<0
全BreakDown,18805,0.0005,-0.9181,52.481,-0.11168,-0.21864,6.98,6.95,0.9846,1.0187,▽short（中）,2,2,NZDUSD,NZD,USD,"深夜
03-09JST",全BreakDown
Q25,3972,0.00314,2.557,39.674,-0.14328,-0.24546,8.13,7.96,0.939,1.0982,▲LONG（強）,1,3,NZDUSD,NZD,USD,"深夜
03-09JST",Q25
Q10,1431,0.00341,-0.0647,9.593,-0.17205,-0.27846,11.53,10.41,0.9356,1.0919,△long（中）,1,2,NZDUSD,NZD,USD,"深夜
03-09JST",Q10
Q10+ac>0,546,-0.00524,-1.4071,5.072,-0.20371,-0.34355,10.81,11.9,0.8113,0.8854,▼SHORT（強）,4,0,NZDUSD,NZD,USD,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,885,0.00874,1.2495,13.446,-0.14795,-0.22765,11.64,9.6,1.0503,1.2752,▲LONG（強）,0,4,NZDUSD,NZD,USD,"深夜
03-09JST",Q10+ac<0
全BreakDown,19892,0.00083,0.8478,40.602,-0.04351,-0.07602,8.53,7.65,1.0375,1.0799,▲LONG（強）,0,4,EURGBP,EUR,GBP,"東京
09-15JST",全BreakDown
Q25,4337,0.00253,0.0287,24.737,-0.04822,-0.08644,10.21,7.31,1.1257,1.2279,▲LONG（強）,0,3,EURGBP,EUR,GBP,"東京
09-15JST",Q25
Q10,959,0.0057,-0.3596,7.598,-0.05777,-0.10538,13.35,7.61,1.2053,1.4515,▲LONG（強）,1,3,EURGBP,EUR,GBP,"東京
09-15JST",Q10
Q10+ac>0,298,0.00853,0.7844,7.255,-0.05641,-0.0856,16.78,6.71,1.2971,1.7656,▲LONG（強）,0,4,EURGBP,EUR,GBP,"東京
09-15JST",Q10+ac>0
Q10+ac<0,661,0.00443,-0.7645,7.537,-0.05912,-0.1127,11.95,7.87,1.123,1.3329,▲LONG（強）,1,3,EURGBP,EUR,GBP,"東京
09-15JST",Q10+ac<0
全BreakDown,20663,0.00206,-0.0263,15.109,-0.10489,-0.16228,11.48,10.25,1.0605,1.085,▲LONG（強）,0,3,EURGBP,EUR,GBP,"欧州
15-21JST",全BreakDown
Q25,7435,0.00344,0.5203,15.578,-0.10456,-0.16532,11.3,9.68,1.119,1.1416,▲LONG（強）,0,4,EURGBP,EUR,GBP,"欧州
15-21JST",Q25
Q10,3493,0.00517,0.981,12.446,-0.11312,-0.17824,11.77,9.59,1.1542,1.1982,▲LONG（強）,0,4,EURGBP,EUR,GBP,"欧州
15-21JST",Q10
Q10+ac>0,1276,0.0035,1.2309,14.382,-0.1205,-0.20041,9.64,9.48,1.0604,1.1226,▲LONG（強）,0,4,EURGBP,EUR,GBP,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,2217,0.00614,0.7631,10.009,-0.10903,-0.16497,13.4,9.7,1.2195,1.2485,▲LONG（強）,0,4,EURGBP,EUR,GBP,"欧州
15-21JST",Q10+ac<0
全BreakDown,20619,-0.0004,0.5801,14.851,-0.10306,-0.15069,11.17,11.63,1.0056,0.983,▽short（中）,2,2,EURGBP,EUR,GBP,"NY
21-03JST",全BreakDown
Q25,8186,0.0012,0.834,12.088,-0.10251,-0.148,11.54,11.25,1.0535,1.0513,▲LONG（強）,0,4,EURGBP,EUR,GBP,"NY
21-03JST",Q25
Q10,4291,0.00478,1.2062,13.975,-0.10505,-0.15109,12.42,10.18,1.1663,1.1999,▲LONG（強）,0,4,EURGBP,EUR,GBP,"NY
21-03JST",Q10
Q10+ac>0,1477,0.00509,0.716,3.301,-0.10694,-0.14395,13.88,10.9,1.2081,1.2125,▲LONG（強）,0,4,EURGBP,EUR,GBP,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2814,0.00461,1.4331,18.698,-0.10434,-0.1548,11.73,9.84,1.1509,1.1933,▲LONG（強）,0,4,EURGBP,EUR,GBP,"NY
21-03JST",Q10+ac<0
全BreakDown,19062,0.00206,2.4347,114.816,-0.0413,-0.07559,8.56,6.16,1.1572,1.2121,▲LONG（強）,0,4,EURGBP,EUR,GBP,"深夜
03-09JST",全BreakDown
Q25,3724,0.00648,5.7356,109.263,-0.04807,-0.07425,11.2,6.18,1.2501,1.6552,▲LONG（強）,0,4,EURGBP,EUR,GBP,"深夜
03-09JST",Q25
Q10,996,0.00646,0.1208,4.607,-0.0546,-0.09009,15.46,9.14,1.3278,1.5113,▲LONG（強）,0,3,EURGBP,EUR,GBP,"深夜
03-09JST",Q10
Q10+ac>0,311,0.01024,0.8071,4.563,-0.05039,-0.07366,18.01,8.04,1.4775,1.8813,▲LONG（強）,0,4,EURGBP,EUR,GBP,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,685,0.00474,-0.2299,4.488,-0.05759,-0.09607,14.6,9.34,1.1924,1.3621,▲LONG（強）,1,3,EURGBP,EUR,GBP,"深夜
03-09JST",Q10+ac<0
全BreakDown,20527,0.00025,0.5937,22.498,-0.11505,-0.17608,10.16,10.49,0.9777,1.0091,▲LONG（強）,1,3,EURAUD,EUR,AUD,"東京
09-15JST",全BreakDown
Q25,6374,-0.00023,0.1159,6.949,-0.12494,-0.185,10.7,11.69,0.9132,0.9919,▼SHORT（強）,3,0,EURAUD,EUR,AUD,"東京
09-15JST",Q25
Q10,2376,0.00014,-0.3045,5.897,-0.13492,-0.21292,10.69,11.36,0.9265,1.0046,▽short（中）,2,2,EURAUD,EUR,AUD,"東京
09-15JST",Q10
Q10+ac>0,922,0.00669,0.3684,8.129,-0.12131,-0.19227,11.71,8.68,1.0032,1.2494,▲LONG（強）,0,4,EURAUD,EUR,AUD,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1454,-0.00401,-0.716,4.409,-0.14185,-0.22401,10.18,13.0,0.8918,0.8807,▼SHORT（強）,4,0,EURAUD,EUR,AUD,"東京
09-15JST",Q10+ac<0
全BreakDown,21013,0.00026,3.2478,161.899,-0.1243,-0.18726,11.42,10.66,1.0352,1.0089,▲LONG（強）,0,4,EURAUD,EUR,AUD,"欧州
15-21JST",全BreakDown
Q25,7126,0.00014,-0.5233,7.465,-0.13136,-0.19611,12.46,11.83,1.0237,1.0044,▲LONG（強）,1,3,EURAUD,EUR,AUD,"欧州
15-21JST",Q25
Q10,3094,0.00185,0.0679,2.89,-0.14119,-0.19745,13.48,12.38,1.0555,1.0563,▲LONG（強）,0,3,EURAUD,EUR,AUD,"欧州
15-21JST",Q10
Q10+ac>0,1095,0.00098,0.0945,4.538,-0.14025,-0.19502,13.24,12.42,0.9982,1.029,△long（中）,1,2,EURAUD,EUR,AUD,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1999,0.00233,0.0528,1.856,-0.14108,-0.19879,13.81,12.21,1.0692,1.072,▲LONG（強）,0,3,EURAUD,EUR,AUD,"欧州
15-21JST",Q10+ac<0
全BreakDown,20688,0.00017,-0.9708,24.849,-0.13996,-0.22021,10.78,10.58,0.9854,1.0054,▽short（中）,2,2,EURAUD,EUR,AUD,"NY
21-03JST",全BreakDown
Q25,7450,-0.00128,-1.4388,33.786,-0.15328,-0.23282,9.99,10.79,0.9458,0.9636,▼SHORT（強）,4,0,EURAUD,EUR,AUD,"NY
21-03JST",Q25
Q10,3795,-0.00029,0.7564,5.878,-0.16303,-0.22451,11.07,12.04,0.9539,0.9921,▼SHORT（強）,3,1,EURAUD,EUR,AUD,"NY
21-03JST",Q10
Q10+ac>0,1369,-0.00425,1.1354,9.071,-0.16764,-0.21669,9.35,13.37,0.8515,0.8895,▼SHORT（強）,3,1,EURAUD,EUR,AUD,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2426,0.00194,0.5487,4.206,-0.16003,-0.22824,12.16,11.29,0.9865,1.0538,▲LONG（強）,1,3,EURAUD,EUR,AUD,"NY
21-03JST",Q10+ac<0
全BreakDown,19746,0.00296,2.9073,144.974,-0.07031,-0.11956,8.36,7.0,1.087,1.1855,▲LONG（強）,0,4,EURAUD,EUR,AUD,"深夜
03-09JST",全BreakDown
Q25,3618,0.00723,1.0621,15.551,-0.08097,-0.13207,11.61,8.07,1.1635,1.4221,▲LONG（強）,0,4,EURAUD,EUR,AUD,"深夜
03-09JST",Q25
Q10,903,0.01135,1.631,12.199,-0.09935,-0.15029,11.18,7.53,1.2774,1.5473,▲LONG（強）,0,4,EURAUD,EUR,AUD,"深夜
03-09JST",Q10
Q10+ac>0,279,0.01577,0.2636,4.321,-0.11146,-0.17388,13.26,6.45,1.6302,1.7585,▲LONG（強）,0,4,EURAUD,EUR,AUD,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,624,0.00937,2.3576,16.869,-0.0978,-0.13955,10.1,7.85,1.1953,1.4526,▲LONG（強）,0,4,EURAUD,EUR,AUD,"深夜
03-09JST",Q10+ac<0
全BreakDown,20415,0.00219,0.9375,32.544,-0.07997,-0.12754,9.86,8.72,1.043,1.1162,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"東京
09-15JST",全BreakDown
Q25,6738,0.00383,1.4573,32.802,-0.08163,-0.13483,9.63,7.78,1.1184,1.1965,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"東京
09-15JST",Q25
Q10,3114,0.00407,0.5409,18.238,-0.08511,-0.14226,10.79,8.77,1.1684,1.1994,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"東京
09-15JST",Q10
Q10+ac>0,1068,0.00325,0.4288,12.946,-0.07858,-0.1392,11.7,8.24,1.2397,1.1621,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"東京
09-15JST",Q10+ac>0
Q10+ac<0,2046,0.0045,0.5849,20.204,-0.08746,-0.14297,10.12,8.99,1.1415,1.2184,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"東京
09-15JST",Q10+ac<0
全BreakDown,20778,0.00052,2.9113,726.368,-0.07845,-0.12419,6.1,5.94,1.0078,1.0279,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"欧州
15-21JST",全BreakDown
Q25,7135,0.00082,-17.1208,592.773,-0.07972,-0.13663,6.98,5.87,1.0712,1.0424,▲LONG（強）,1,3,AUDNZD,AUD,NZD,"欧州
15-21JST",Q25
Q10,3196,0.00346,0.513,6.331,-0.0847,-0.12,14.33,11.7,1.0998,1.1814,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"欧州
15-21JST",Q10
Q10+ac>0,1148,0.00302,-0.1197,1.058,-0.09217,-0.12805,15.33,12.98,1.0309,1.1504,▲LONG（強）,0,3,AUDNZD,AUD,NZD,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,2048,0.00371,0.8919,9.53,-0.0812,-0.11452,14.01,11.04,1.1301,1.2003,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"欧州
15-21JST",Q10+ac<0
全BreakDown,20729,0.0011,-0.263,8.857,-0.07606,-0.11319,12.13,11.15,1.0296,1.064,▲LONG（強）,1,3,AUDNZD,AUD,NZD,"NY
21-03JST",全BreakDown
Q25,6542,0.00283,-0.534,8.702,-0.07918,-0.11992,13.15,10.62,1.0909,1.1588,▲LONG（強）,1,3,AUDNZD,AUD,NZD,"NY
21-03JST",Q25
Q10,2842,0.00288,-0.2231,5.4,-0.08786,-0.12752,13.19,10.94,1.0839,1.1463,▲LONG（強）,1,3,AUDNZD,AUD,NZD,"NY
21-03JST",Q10
Q10+ac>0,999,0.00289,0.0603,4.326,-0.09074,-0.12546,13.11,11.41,1.0188,1.146,▲LONG（強）,0,3,AUDNZD,AUD,NZD,"NY
21-03JST",Q10+ac>0
Q10+ac<0,1843,0.00287,-0.3738,5.966,-0.08571,-0.12851,13.35,10.63,1.1187,1.1464,▲LONG（強）,1,3,AUDNZD,AUD,NZD,"NY
21-03JST",Q10+ac<0
全BreakDown,19371,0.00235,-0.2609,30.633,-0.05902,-0.10207,9.8,8.05,1.0821,1.1686,▲LONG（強）,1,3,AUDNZD,AUD,NZD,"深夜
03-09JST",全BreakDown
Q25,4269,0.00813,0.7089,27.26,-0.05814,-0.10467,10.92,5.76,1.3179,1.613,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"深夜
03-09JST",Q25
Q10,1131,0.01308,1.3312,15.595,-0.07047,-0.12894,10.43,5.13,1.4346,1.849,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"深夜
03-09JST",Q10
Q10+ac>0,342,0.013,-0.6247,4.675,-0.06547,-0.11701,18.71,7.6,1.3605,1.9452,▲LONG（強）,1,3,AUDNZD,AUD,NZD,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,789,0.01311,1.5946,15.438,-0.07225,-0.13261,9.25,4.44,1.5017,1.8134,▲LONG（強）,0,4,AUDNZD,AUD,NZD,"深夜
03-09JST",Q10+ac<0
