pair,direction,signal_bar,entry_bar,pnl_yen,r_mult,held,session
USDJPY,short,2022-01-06 02:30:00,2022-01-06 02:35:00,-3052.276559863853,-0.6104553119727706,3,"東京
09-15JST"
USDJPY,short,2022-01-06 02:35:00,2022-01-06 02:40:00,-3825.088339222652,-0.7650176678445304,2,"東京
09-15JST"
USDJPY,short,2022-01-06 02:40:00,2022-01-06 02:45:00,-4999.999999999455,-0.9999999999998911,1,"東京
09-15JST"
USDJPY,short,2022-01-14 00:55:00,2022-01-14 01:00:00,-4955.75221238899,-0.991150442477798,2,"東京
09-15JST"
USDJPY,short,2022-01-14 01:00:00,2022-01-14 01:05:00,-4999.9999999996035,-0.9999999999999207,1,"東京
09-15JST"
USDJPY,short,2022-01-14 01:35:00,2022-01-14 01:40:00,-1483.854433624099,-0.2967708867248198,4,"東京
09-15JST"
USDJPY,short,2022-01-14 01:40:00,2022-01-14 01:45:00,-3524.8369292536077,-0.7049673858507215,4,"東京
09-15JST"
USDJPY,short,2022-01-14 01:45:00,2022-01-14 01:50:00,654.7917711989742,0.13095835423979482,6,"東京
09-15JST"
USDJPY,short,2022-01-14 02:10:00,2022-01-14 02:15:00,-279.2915531332909,-0.05585831062665818,3,"東京
09-15JST"
USDJPY,short,2022-01-14 02:15:00,2022-01-14 02:20:00,-515.1915455746431,-0.10303830911492862,2,"東京
09-15JST"
USDJPY,short,2022-01-14 02:25:00,2022-01-14 02:30:00,-131.2987934692632,-0.026259758693852636,2,"東京
09-15JST"
USDJPY,short,2022-01-14 03:25:00,2022-01-14 03:30:00,1919.682259488869,0.3839364518977738,3,"東京
09-15JST"
USDJPY,short,2022-01-14 03:30:00,2022-01-14 03:35:00,-374.44933920550574,-0.07488986784110115,2,"東京
09-15JST"
USDJPY,short,2022-01-19 04:20:00,2022-01-19 04:25:00,5380.228136883293,1.0760456273766585,3,"東京
09-15JST"
USDJPY,short,2022-01-19 04:30:00,2022-01-19 04:35:00,261.6555661248501,0.05233111322497002,2,"東京
09-15JST"
USDJPY,short,2022-01-19 04:35:00,2022-01-19 04:40:00,-4999.999999999615,-0.9999999999999231,1,"東京
09-15JST"
USDJPY,short,2022-01-19 04:50:00,2022-01-19 04:55:00,13734.17721519288,2.746835443038576,6,"東京
09-15JST"
USDJPY,short,2022-02-14 01:50:00,2022-02-14 01:55:00,-5000.0000000000855,-1.000000000000017,1,"東京
09-15JST"
USDJPY,short,2022-02-17 03:50:00,2022-02-17 03:55:00,5273.037542663449,1.0546075085326898,2,"東京
09-15JST"
USDJPY,short,2022-02-17 03:55:00,2022-02-17 04:00:00,-4999.999999999513,-0.9999999999999026,1,"東京
09-15JST"
USDJPY,short,2022-03-23 02:30:00,2022-03-23 02:35:00,7211.028632025281,1.442205726405056,4,"東京
09-15JST"
USDJPY,short,2022-03-23 02:40:00,2022-03-23 02:45:00,4583.571021106641,0.9167142042213281,2,"東京
09-15JST"
USDJPY,short,2022-03-25 00:10:00,2022-03-25 00:15:00,-5000.0000000001655,-1.000000000000033,1,"東京
09-15JST"
USDJPY,short,2022-03-25 01:10:00,2022-03-25 01:15:00,7561.50506512248,1.512301013024496,2,"東京
09-15JST"
USDJPY,short,2022-03-25 03:10:00,2022-03-25 03:15:00,-4869.402985074266,-0.9738805970148533,2,"東京
09-15JST"
USDJPY,short,2022-03-25 03:40:00,2022-03-25 03:45:00,-5000.000000000282,-1.0000000000000564,1,"東京
09-15JST"
USDJPY,short,2022-03-25 04:15:00,2022-03-25 04:20:00,-173.39861281117018,-0.03467972256223403,4,"東京
09-15JST"
USDJPY,short,2022-03-25 04:20:00,2022-03-25 04:25:00,-4999.999999999586,-0.9999999999999173,2,"東京
09-15JST"
USDJPY,short,2022-03-25 05:05:00,2022-03-25 05:10:00,-4999.999999999827,-0.9999999999999655,3,"東京
09-15JST"
USDJPY,short,2022-03-29 00:15:00,2022-03-29 00:20:00,-5000.000000000228,-1.0000000000000457,1,"東京
09-15JST"
USDJPY,short,2022-03-29 00:20:00,2022-03-29 00:25:00,-5000.00000000004,-1.000000000000008,1,"東京
09-15JST"
USDJPY,short,2022-03-29 00:30:00,2022-03-29 00:35:00,-5000.000000000145,-1.0000000000000289,1,"東京
09-15JST"
USDJPY,short,2022-03-30 00:45:00,2022-03-30 00:50:00,11664.652567976167,2.3329305135952336,3,"東京
09-15JST"
USDJPY,short,2022-03-30 00:50:00,2022-03-30 00:55:00,14751.270393153085,2.950254078630617,5,"東京
09-15JST"
USDJPY,short,2022-03-30 00:55:00,2022-03-30 01:00:00,12829.337458108164,2.565867491621633,4,"東京
09-15JST"
USDJPY,short,2022-03-30 01:00:00,2022-03-30 01:05:00,9608.993157380399,1.9217986314760798,3,"東京
09-15JST"
USDJPY,short,2022-03-30 01:05:00,2022-03-30 01:10:00,8169.934640522947,1.6339869281045893,2,"東京
09-15JST"
USDJPY,short,2022-03-30 01:10:00,2022-03-30 01:15:00,3039.125431531127,0.6078250863062254,2,"東京
09-15JST"
USDJPY,short,2022-03-30 01:15:00,2022-03-30 01:20:00,-5000.0,-1.0,1,"東京
09-15JST"
USDJPY,short,2022-03-30 01:20:00,2022-03-30 01:25:00,-4999.99999999978,-0.999999999999956,1,"東京
09-15JST"
USDJPY,short,2022-03-30 01:35:00,2022-03-30 01:40:00,6263.1800927885615,1.2526360185577123,9,"東京
09-15JST"
USDJPY,short,2022-03-30 01:50:00,2022-03-30 01:55:00,7720.462328767491,1.5440924657534982,6,"東京
09-15JST"
USDJPY,short,2022-03-30 01:55:00,2022-03-30 02:00:00,6880.66298342563,1.376132596685126,5,"東京
09-15JST"
USDJPY,short,2022-03-30 02:00:00,2022-03-30 02:05:00,5269.953051642979,1.0539906103285956,4,"東京
09-15JST"
USDJPY,short,2022-03-30 02:15:00,2022-03-30 02:20:00,4936.852740590613,0.9873705481181226,3,"東京
09-15JST"
USDJPY,short,2022-03-30 02:20:00,2022-03-30 02:25:00,1613.8917262510008,0.32277834525020016,2,"東京
09-15JST"
USDJPY,short,2022-03-30 02:30:00,2022-03-30 02:35:00,4497.863247863242,0.8995726495726484,4,"東京
09-15JST"
USDJPY,short,2022-03-30 03:10:00,2022-03-30 03:15:00,3322.861285645441,0.6645722571290882,2,"東京
09-15JST"
USDJPY,short,2022-03-30 03:15:00,2022-03-30 03:20:00,-4999.99999999994,-0.999999999999988,1,"東京
09-15JST"
USDJPY,short,2022-03-30 03:40:00,2022-03-30 03:45:00,-5000.000000000032,-1.0000000000000064,1,"東京
09-15JST"
USDJPY,short,2022-03-30 03:55:00,2022-03-30 04:00:00,-4999.999999999967,-0.9999999999999934,1,"東京
09-15JST"
USDJPY,short,2022-03-30 04:00:00,2022-03-30 04:05:00,-3068.858971529447,-0.6137717943058894,6,"東京
09-15JST"
