pair,base,quote,condition,label,n,mean,std,skewness,kurtosis,p5,p95
USDJPY,USD,JPY,全期間,全期間（3年）,178204,1.2768113746309078e-06,0.0003954893585528681,-0.9704694197783873,107.65043291892852,-0.0005371755216224173,0.000533310529173186
USDJPY,USD,JPY,|強弱差|上位10%,|強弱差| 上位10%,17821,-1.8105986429718998e-06,0.0006491877103642444,-0.2395142493230039,20.18669178815964,-0.0009612846237501284,0.0008869473951870247
USDJPY,USD,JPY,|強弱差|上位5%,|強弱差| 上位5%,8911,-6.223740994525137e-06,0.000765609228105631,-0.6200115862771494,12.126393390328086,-0.0011232089608543706,0.0010776390964695884
USDJPY,USD,JPY,USD強,USD強 上位10%（正の強弱差）,8827,-2.8873528760445203e-06,0.0005751031814783835,-0.21376640142322176,9.378076510682222,-0.0008344714437527522,0.0008725743645695808
USDJPY,USD,JPY,JPY強,JPY強 上位10%（負の強弱差）,8994,-7.538375116252216e-07,0.0007144970176782097,-0.2481631547527858,23.216179716860704,-0.0011048604502303908,0.0009052022050523039
EURJPY,EUR,JPY,全期間,全期間（3年）,178263,3.9285443567772887e-07,0.00038225422345557637,-1.349153331951513,73.39336912720185,-0.0005423671923010701,0.0005345644560160178
EURJPY,EUR,JPY,|強弱差|上位10%,|強弱差| 上位10%,17827,-9.901438036013788e-07,0.0006333652106891691,-1.271356626263117,30.020269897524543,-0.0009014728810847033,0.0008993303659971996
EURJPY,EUR,JPY,|強弱差|上位5%,|強弱差| 上位5%,8914,-9.836681009050007e-06,0.0007367784016472705,-1.2954938523216932,25.270275290525674,-0.0010641142950601375,0.0010053205685764878
EURJPY,EUR,JPY,EUR強,EUR強 上位10%（正の強弱差）,8635,-9.927961988493602e-07,0.0005617253756733887,-0.6347126914993902,22.916365148793435,-0.0008053943908393684,0.0008831513349841303
EURJPY,EUR,JPY,JPY強,JPY強 上位10%（負の強弱差）,9192,-9.876521333482944e-07,0.0006939903867105283,-1.558264961496671,30.982527346202154,-0.0009987506355665769,0.0009132635238742993
GBPJPY,GBP,JPY,全期間,全期間（3年）,178545,4.959534541534652e-07,0.0003979014863644025,-0.9539417080598308,65.89301988349774,-0.0005711796113586424,0.0005634773725095706
GBPJPY,GBP,JPY,|強弱差|上位10%,|強弱差| 上位10%,17855,-7.52056018984386e-06,0.0006313027741127338,-0.34983570944571823,14.01171531241221,-0.0009476060125990646,0.0009062434908733121
GBPJPY,GBP,JPY,|強弱差|上位5%,|強弱差| 上位5%,8928,-6.2371389851458695e-06,0.0007451576580361103,-0.37902099889215324,13.143896689509546,-0.0011170415761675874,0.001064098455259619
GBPJPY,GBP,JPY,GBP強,GBP強 上位10%（正の強弱差）,8550,-8.91971968608068e-06,0.0005721564522666613,0.5556793039658455,7.855114357322549,-0.0008464816378851693,0.0008857660187457514
GBPJPY,GBP,JPY,JPY強,JPY強 上位10%（負の強弱差）,9305,-6.234927337310294e-06,0.0006811656485653105,-0.8386933600960731,16.130359358354546,-0.0010346762931775376,0.0009240066995521216
AUDJPY,AUD,JPY,全期間,全期間（3年）,174841,4.576837891568237e-07,0.00045377544618416536,-1.2020262399090589,64.48113197469604,-0.0006647433670736743,0.0006471651082857751
AUDJPY,AUD,JPY,|強弱差|上位10%,|強弱差| 上位10%,17484,-6.837595185875924e-06,0.000711124105547734,-0.44677554373107,12.399806508851867,-0.0010823944762432002,0.001034584554202278
AUDJPY,AUD,JPY,|強弱差|上位5%,|強弱差| 上位5%,8742,-8.943134410122393e-06,0.0008242457540904257,-0.3569958870573227,10.37772273384982,-0.001248878777062703,0.001208717096747897
AUDJPY,AUD,JPY,AUD強,AUD強 上位10%（正の強弱差）,8392,-1.38897557569012e-05,0.0006434795501613755,0.3227563216526533,7.534649583666656,-0.000961659425573621,0.0009812925943584127
AUDJPY,AUD,JPY,JPY強,JPY強 上位10%（負の強弱差）,9092,-3.28385824674414e-07,0.000768271331268166,-0.8640189667447459,13.990070903872596,-0.0011931387574157168,0.0010687437730785823
NZDJPY,NZD,JPY,全期間,全期間（3年）,180503,2.87837433425922e-07,0.00043902105373332925,-0.5838335929498552,43.37359841140768,-0.0006467008461641327,0.0006312005657573698
