pair,base,quote,session,horizon,n,mean,skew,exkurt,lefttail,downrate,tstat,pval,judge
USDJPY,USD,JPY,東京 09-15,6,19471,0.0003584819216375597,-2.5788921801698605,84.51237397259334,1.0145558188558719,47.63494427610292,0.4539760044613727,0.6498511579638427,△long（弱）
USDJPY,USD,JPY,東京 09-15,12,19471,-2.410414167409679e-05,-2.4713607075304633,55.66970779720585,1.0176571819086946,47.799291253659284,-0.02110525440417099,0.9831619096922962,─
USDJPY,USD,JPY,東京 09-15,24,19471,0.0012226669238020427,2.2194273991622944,116.22628413946155,1.063656672841042,47.249756047455186,0.7137483048403911,0.47539138642961865,△long
USDJPY,USD,JPY,欧州 15-21,6,19782,0.002587901217029934,12.422525011177317,539.5338872496877,1.0438356837711542,47.27024567788899,2.940839759307967,0.003277028562271735,▲LONG
USDJPY,USD,JPY,欧州 15-21,12,19782,0.004376276362665888,7.3635214513585785,237.8429139582179,1.0417402886898814,47.366292589222525,3.4568751841787213,0.0005476259616639971,▲LONG
USDJPY,USD,JPY,欧州 15-21,24,19782,0.009444565536357691,3.2836673082701857,74.84182938848238,1.0757079334151018,46.23900515620261,5.3051509056318995,1.1379120465531256e-07,▲LONG
USDJPY,USD,JPY,NY   21-03,6,19649,0.0015669982088758684,-0.388668524794553,26.25881180406332,1.012024247642432,47.28993841925798,1.649432421600862,0.09907506293616675,△long（弱）
USDJPY,USD,JPY,NY   21-03,12,19649,0.0014781719327681211,-0.6348779368133649,16.867540832993303,1.0842453108929908,47.127080258537326,1.1414855498000533,0.25368183354747365,△long（弱）
USDJPY,USD,JPY,NY   21-03,24,19649,0.002306023079321248,-1.567899883595036,19.771159266188903,1.0960954256211641,45.3814443483129,1.3168254360848584,0.187912503108765,△long（弱）
USDJPY,USD,JPY,深夜 03-09,6,18583,0.00035169355939473456,-3.984977468737762,133.82269108468114,0.9869345777053367,48.37216811063876,0.5908144221670096,0.5546519563019929,△long（弱）
USDJPY,USD,JPY,深夜 03-09,12,18580,0.0017566212384927734,-2.0081147163741955,75.88582663291996,0.9941071124058684,48.41227125941873,2.0397338409039896,0.0413909578312978,△long（弱）
USDJPY,USD,JPY,深夜 03-09,24,18574,0.0037497682292707457,-0.3482594888733723,29.849044787367994,0.9979184144576636,48.56250672983741,2.908840474210692,0.0036320189357211706,△long（弱）
EURJPY,EUR,JPY,東京 09-15,6,19926,0.0008705134773017746,-1.8205207335093707,82.11218631573867,1.0331477818479236,47.716551239586465,1.196935681578065,0.23134586583126954,△long（弱）
EURJPY,EUR,JPY,東京 09-15,12,19926,0.0007142654880833773,-2.2806403612560144,56.963734500033155,1.0206072386883622,47.781792632741144,0.672577588828844,0.5012238629420809,△long（弱）
EURJPY,EUR,JPY,東京 09-15,24,19926,0.0035407312666078223,2.2092191623933752,102.67979429288701,1.0609731907800255,46.43179765130985,2.1520134191569316,0.03140827316414664,▲LONG
EURJPY,EUR,JPY,欧州 15-21,6,20410,0.0007399586345227864,5.427162043836531,241.97067352031922,1.03687608905506,48.01077902988731,0.8632305768934055,0.38802084916987334,△long
EURJPY,EUR,JPY,欧州 15-21,12,20410,0.0012239796571520093,4.685338326800779,146.58524345083566,1.054099303841146,48.118569328760415,0.9530860739855408,0.34055774890938717,△long
EURJPY,EUR,JPY,欧州 15-21,24,20410,0.001551992492703092,1.943178431184082,57.49209116219685,1.069482403400267,47.39343459088682,0.8783189700269977,0.37978098383848313,△long
EURJPY,EUR,JPY,NY   21-03,6,20088,0.00016656224143634402,-0.5567591805252308,14.67000743240397,1.0949831353699735,48.028673835125446,0.21389133819057415,0.8306339659991723,△long（弱）
EURJPY,EUR,JPY,NY   21-03,12,20088,-0.00013577842573528681,-0.3409194986961052,8.982769215133592,1.0860664559084248,47.57566706491438,-0.1264235995064547,0.8993978876571469,─
EURJPY,EUR,JPY,NY   21-03,24,20088,-0.0018084720354746273,-0.5015803019338391,6.589268890436019,1.1434110711292003,47.396455595380324,-1.2324887737386676,0.21778098286581216,─
EURJPY,EUR,JPY,深夜 03-09,6,18805,0.0024687191524869214,-1.5287833579136887,73.36311942847142,0.9680799801238422,45.96649827173624,4.486049926730422,7.298553249410963e-06,△long（弱）
