pair,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,trend
AUDUSD,-1,2024-11-04 23:55:00,2024-11-05 06:00:00,0.6583950000000001,0.659805,-0.25415715489940816,session_end,-1
AUDJPY,-1,2024-11-05 00:15:00,2024-11-05 06:00:00,100.19,100.515,-0.36438367102505254,session_end,-1
EURAUD,1,2024-11-05 00:05:00,2024-11-05 06:00:00,1.6520549999999998,1.648785,-0.23793529876426242,session_end,1
USDJPY,-1,2024-11-05 22:30:00,2024-11-06 01:00:00,151.56099999999998,153.07661,-1.040000000000001,stop,-1
USDJPY,-1,2024-11-06 04:20:00,2024-11-06 06:00:00,153.7845,153.768,-0.0292707002331127,session_end,-1
EURJPY,-1,2024-11-05 22:55:00,2024-11-06 06:00:00,165.6485,165.3505,0.1398990030093872,session_end,-1
GBPJPY,-1,2024-11-05 22:40:00,2024-11-06 06:00:00,197.67149999999998,198.202,-0.30837455070660713,session_end,-1
AUDUSD,1,2024-11-06 23:15:00,2024-11-07 05:55:00,0.6571100000000001,0.66232,0.7528657302430197,session_end,1
AUDJPY,1,2024-11-07 00:35:00,2024-11-07 06:00:00,101.5625,101.969,0.360246153846151,session_end,1
USDJPY,1,2024-11-07 00:30:00,2024-11-07 06:00:00,154.64499999999998,154.04500000000002,-0.4279853858837712,session_end,1
USDJPY,-1,2024-11-07 21:40:00,2024-11-08 06:00:00,152.90949999999998,152.789,0.03880478322144224,session_end,-1
AUDJPY,-1,2024-11-07 21:10:00,2024-11-08 06:00:00,102.10900000000001,101.6745,0.38552566375149144,session_end,-1
NZDJPY,-1,2024-11-07 22:50:00,2024-11-08 06:00:00,92.1325,91.81899999999999,0.30027080563319153,session_end,-1
AUDUSD,-1,2024-11-11 23:20:00,2024-11-12 06:00:00,0.65743,0.654855,0.35167668040703814,session_end,-1
EURAUD,-1,2024-11-11 21:50:00,2024-11-12 06:00:00,1.6207850000000001,1.62392,-0.2334247910734488,session_end,-1
AUDJPY,-1,2024-11-11 23:25:00,2024-11-12 06:00:00,101.02449999999999,100.62100000000001,0.35940806438040207,session_end,-1
AUDUSD,-1,2024-11-12 21:45:00,2024-11-13 06:00:00,0.653265,0.65334,-0.051480792633933306,session_end,-1
GBPUSD,-1,2024-11-12 22:35:00,2024-11-13 06:00:00,1.27489,1.274375,0.0003956419769535538,session_end,-1
USDJPY,1,2024-11-12 22:10:00,2024-11-13 06:00:00,154.643,155.012,0.1986140982779672,session_end,1
GBPJPY,1,2024-11-13 23:30:00,2024-11-14 06:00:00,197.602,197.8945,0.10802481756257536,session_end,1
AUDJPY,-1,2024-11-14 02:05:00,2024-11-14 06:00:00,101.02250000000001,100.862,0.11887549803262902,session_end,-1
NZDJPY,-1,2024-11-13 22:35:00,2024-11-14 06:00:00,91.396,91.419,-0.06516521510786961,session_end,-1
EURJPY,1,2024-11-14 21:40:00,2024-11-15 06:00:00,164.483,164.95350000000002,0.24604779825271986,session_end,1
AUDUSD,-1,2024-11-14 23:15:00,2024-11-15 06:00:00,0.64493,0.64642,-0.2710328252678629,session_end,-1
USDJPY,1,2024-11-14 23:10:00,2024-11-15 06:00:00,156.37400000000002,156.49099999999999,0.034820622354065946,session_end,1
USDJPY,-1,2024-11-18 23:05:00,2024-11-19 06:00:00,154.5165,154.3785,0.049310850297541495,session_end,-1
EURJPY,1,2024-11-18 21:40:00,2024-11-19 01:55:00,163.887,163.2595,-0.4228857688529253,session_end,1
AUDUSD,1,2024-11-18 21:20:00,2024-11-19 06:00:00,0.6507400000000001,0.65094,-0.009265758982106543,session_end,1
AUDJPY,1,2024-11-19 23:30:00,2024-11-20 06:00:00,101.081,101.2575,0.13461243952867633,session_end,1
NZDJPY,1,2024-11-19 23:10:00,2024-11-20 06:00:00,91.43299999999999,91.635,0.18092679885818977,session_end,1
GBPJPY,1,2024-11-19 23:40:00,2024-11-20 06:00:00,196.34199999999998,196.87349999999998,0.23070112354972142,session_end,1
NZDUSD,-1,2024-11-21 00:40:00,2024-11-21 06:00:00,0.587835,0.5872649999999999,0.05696598535304802,session_end,-1
GBPUSD,-1,2024-11-20 23:15:00,2024-11-21 06:00:00,1.26515,1.265145,-0.03960478994585067,session_end,-1
AUDUSD,-1,2024-11-21 00:45:00,2024-11-21 06:00:00,0.6507799999999999,0.6514150000000001,-0.13757521743141152,session_end,-1
USDJPY,1,2024-11-21 21:25:00,2024-11-22 06:00:00,154.517,154.7765,0.12794268591806549,session_end,1
EURJPY,-1,2024-11-21 23:05:00,2024-11-22 06:00:00,161.64350000000002,161.994,-0.2568351959713766,session_end,-1
AUDJPY,-1,2024-11-22 02:50:00,2024-11-22 06:00:00,100.62899999999999,100.494,0.09415615776762869,session_end,-1
USDJPY,-1,2024-11-25 22:40:00,2024-11-26 06:00:00,154.112,153.6295,0.27308399086378277,session_end,-1
AUDUSD,-1,2024-11-25 22:15:00,2024-11-26 06:00:00,0.650415,0.649095,0.16294734900024868,session_end,-1
AUDJPY,-1,2024-11-25 22:45:00,2024-11-26 06:00:00,100.21600000000001,99.72049999999999,0.45443202682208916,session_end,-1
USDJPY,-1,2024-11-26 23:05:00,2024-11-27 06:00:00,153.11,152.32299999999998,0.47400953562800163,session_end,-1
GBPJPY,-1,2024-11-26 23:05:00,2024-11-27 06:00:00,192.51,191.44,0.5158152823229911,session_end,-1
AUDJPY,-1,2024-11-27 00:05:00,2024-11-27 06:00:00,98.943,98.6345,0.27179568034119805,session_end,-1
AUDJPY,-1,2024-11-27 22:10:00,2024-11-28 06:00:00,98.18799999999999,98.1825,-0.03439850083514658,session_end,-1
GBPJPY,-1,2024-11-27 22:30:00,2024-11-28 06:00:00,191.4615,191.697,-0.16300123001229846,session_end,-1
NZDJPY,-1,2024-11-27 22:00:00,2024-11-28 06:00:00,89.02799999999999,89.18100000000001,-0.21185604528915378,session_end,-1
AUDJPY,1,2024-11-28 21:50:00,2024-11-29 06:00:00,98.493,97.78999999999999,-0.7537563075548581,session_end,1
EURJPY,-1,2024-11-28 22:50:00,2024-11-29 06:00:00,159.9495,158.6285,0.78588567016465,session_end,-1
GBPJPY,1,2024-11-28 21:45:00,2024-11-29 06:00:00,192.2535,190.7175,-0.8389451427412252,session_end,1
USDJPY,-1,2024-12-02 22:50:00,2024-12-03 06:00:00,149.543,150.027,-0.36365272864660625,session_end,-1
AUDUSD,-1,2024-12-02 21:25:00,2024-12-03 06:00:00,0.647485,0.6471,0.019460836930580462,session_end,-1
EURJPY,-1,2024-12-02 22:55:00,2024-12-03 06:00:00,156.981,157.3875,-0.29894853517305364,session_end,-1
AUDJPY,-1,2024-12-04 00:30:00,2024-12-04 06:00:00,96.9205,96.70400000000001,0.18337895491665315,session_end,-1
GBPJPY,-1,2024-12-04 02:45:00,2024-12-04 06:00:00,189.6575,190.503,-0.4858036196828497,session_end,-1
EURAUD,1,2024-12-04 00:30:00,2024-12-04 06:00:00,1.6227049999999998,1.632435,0.5596160731618127,session_end,1
USDJPY,-1,2024-12-04 21:35:00,2024-12-05 06:00:00,150.64,149.83100000000002,0.49704195432817677,session_end,-1
EURJPY,1,2024-12-04 23:15:00,2024-12-05 06:00:00,158.44299999999998,157.76350000000002,-0.46886085216763407,session_end,1
NZDJPY,1,2024-12-04 23:15:00,2024-12-05 06:00:00,88.207,87.9805,-0.29678234153750926,session_end,1
NZDJPY,1,2024-12-05 23:25:00,2024-12-06 06:00:00,88.3565,87.849,-0.6143776632166187,session_end,1
USDJPY,-1,2024-12-05 22:25:00,2024-12-06 06:00:00,150.0615,149.9675,0.022640983863282428,session_end,-1
GBPJPY,1,2024-12-06 04:15:00,2024-12-06 06:00:00,191.10649999999998,191.137,-0.024040312600552803,session_end,1
AUDUSD,1,2024-12-09 21:40:00,2024-12-10 06:00:00,0.64394,0.63969,-0.6999993788241055,session_end,1
AUDJPY,1,2024-12-09 21:45:00,2024-12-10 06:00:00,97.37100000000001,96.56,-0.8728968584075391,session_end,1
NZDUSD,1,2024-12-09 21:45:00,2024-12-10 06:00:00,0.586355,0.583445,-0.5362863794117811,session_end,1
AUDJPY,1,2024-12-10 22:20:00,2024-12-11 06:00:00,96.9305,96.6985,-0.27934674844346974,session_end,1
