signal_dt,entry_dt,exit_dt,session,direction,filter,entry_price,exit_price,sl_price,lot_size,held_bars,exit_reason,pnl_pips,pnl_yen,r_mult,atr_val,eur_jpy_diff,ac_val,period
2022-02-27 23:50:00,2022-02-27 23:55:00,2022-02-28 00:15:00,NY   21-03JST,LONG,Q10+ac<0,129.237,129.27921,129.09721,3.58,4,stop,4.22,1510.0,0.302,0.13979,-0.009149,-0.1434,IS
2022-02-27 23:55:00,2022-02-28 00:00:00,2022-02-28 00:15:00,NY   21-03JST,LONG,Q10+ac<0,129.236,129.26314,129.10114,3.71,3,stop,2.71,1006.0,0.201,0.13486,-0.009055,-0.1609,IS
2022-02-28 00:00:00,2022-02-28 00:05:00,2022-02-28 00:15:00,NY   21-03JST,LONG,Q10+ac<0,129.3875,129.24343,129.24143,3.42,2,stop,-14.41,-4932.0,-0.986,0.14607,-0.007592,-0.2386,IS
2022-02-28 00:05:00,2022-02-28 00:10:00,2022-02-28 00:55:00,NY   21-03JST,LONG,Q10+ac<0,129.361,129.22546,129.21746,3.48,9,stop,-13.55,-4721.0,-0.944,0.14354,-0.007903,-0.2938,IS
2022-02-28 00:10:00,2022-02-28 00:15:00,2022-02-28 00:55:00,NY   21-03JST,LONG,Q10+ac<0,129.3295,129.23404,129.19454,3.7,8,stop,-9.55,-3537.0,-0.707,0.13496,-0.008045,-0.2166,IS
2022-02-28 17:35:00,2022-02-28 17:40:00,2022-02-28 18:15:00,NY   21-03JST,LONG,Q10+ac<0,128.9105,128.91025,128.81325,5.14,7,stop,-0.03,-13.0,-0.003,0.09725,-0.004883,-0.2606,IS
2022-02-28 18:25:00,2022-02-28 18:30:00,2022-02-28 18:45:00,NY   21-03JST,LONG,Q10+ac<0,128.9025,128.91193,128.83693,7.63,3,stop,0.94,719.0,0.144,0.06557,-0.006924,-0.1136,IS
2022-02-28 18:30:00,2022-02-28 18:35:00,2022-02-28 18:45:00,NY   21-03JST,LONG,Q10+ac<0,128.9355,128.916,128.874,8.13,2,stop,-1.95,-1585.0,-0.317,0.0615,-0.004946,-0.1121,IS
2022-03-01 09:45:00,2022-03-01 09:50:00,2022-03-01 10:00:00,欧州 15-21JST,SHORT,Q10+ac>0,128.5155,128.5295,128.6035,5.68,2,stop,-1.4,-795.0,-0.159,0.088,-0.005003,0.6566,IS
2022-03-01 09:50:00,2022-03-01 09:55:00,2022-03-01 10:20:00,欧州 15-21JST,SHORT,Q10+ac>0,128.513,128.38832,128.60182,5.63,5,stop,12.47,7018.0,1.404,0.08882,-0.005745,0.5203,IS
2022-03-01 09:55:00,2022-03-01 10:00:00,2022-03-01 10:20:00,欧州 15-21JST,SHORT,Q10+ac>0,128.51,128.38746,128.59796,5.68,4,stop,12.25,6965.0,1.393,0.08796,-0.00641,0.6227,IS
2022-03-01 10:00:00,2022-03-01 10:05:00,2022-03-01 10:20:00,欧州 15-21JST,SHORT,Q10+ac>0,128.46,128.39146,128.55196,5.44,3,stop,6.85,3726.0,0.745,0.09196,-0.005797,0.5729,IS
2022-03-01 10:05:00,2022-03-01 10:10:00,2022-03-01 10:25:00,欧州 15-21JST,SHORT,Q10+ac>0,128.3785,128.39886,128.47786,5.03,3,stop,-2.04,-1024.0,-0.205,0.09936,-0.006923,0.5484,IS
2022-03-01 10:10:00,2022-03-01 10:15:00,2022-03-01 10:35:00,欧州 15-21JST,SHORT,Q10+ac>0,128.331,128.32179,128.42879,5.11,4,stop,0.92,471.0,0.094,0.09779,-0.006586,0.4874,IS
2022-03-01 10:15:00,2022-03-01 10:20:00,2022-03-01 10:35:00,欧州 15-21JST,SHORT,Q10+ac>0,128.315,128.32436,128.41536,4.98,3,stop,-0.94,-466.0,-0.093,0.10036,-0.005914,0.481,IS
2022-03-01 10:20:00,2022-03-01 10:25:00,2022-03-01 10:35:00,欧州 15-21JST,SHORT,Q10+ac>0,128.383,128.32475,128.48375,4.96,2,stop,5.83,2891.0,0.578,0.10075,-0.005211,0.567,IS
2022-03-01 10:25:00,2022-03-01 10:30:00,2022-03-01 10:40:00,欧州 15-21JST,SHORT,Q10+ac>0,128.279,128.33475,128.38525,4.71,2,stop,-5.57,-2624.0,-0.525,0.10625,-0.006069,0.1519,IS
2022-03-01 10:45:00,2022-03-01 10:50:00,2022-03-01 11:15:00,欧州 15-21JST,SHORT,Q10+ac>0,128.489,128.33832,128.59182,4.86,5,stop,15.07,7327.0,1.465,0.10282,-0.005317,0.1437,IS
