period,label,n,win_rate,pf,total_pnl,max_dd,dd_pct,expectancy
IS,IS (2022-2023),207,38.64734299516908,1.4435095542188998,218229.13271808557,106205.10840094846,10.620510840094846,1054.247017961766
OOS,OOS (2024),123,39.83739837398374,1.027921150950228,7194.710784123953,64250.17907085167,6.425017907085167,58.49358361076385
ALL,全期間,330,39.09090909090909,1.3006732987220915,225423.84350220943,111342.0947023186,11.13420947023186,683.1025560673013
