leader,follower,lag,state,trades,win_rate,pf,total_pnl,max_dd,ev_bp
USDJPY,GBPJPY,2,TREND,2455,0.15560081466395112,0.13568840234484225,-99.37272581838255,-99.33464449219548,-4.047768872439208
USDJPY,GBPJPY,2,MR,19937,0.10488037317550283,0.07120032151018904,-810.5592265498747,-810.574744934145,-4.065602781511133
USDJPY,GBPJPY,2,NO_TRADE,118833,0.10475204699031414,0.07406811241668719,-4794.782020643103,-4794.728220700621,-4.0348909988329025
USDJPY,CHFJPY,2,TREND,1264,0.12579113924050633,0.09413247034710032,-50.39539016408787,-50.34818047426162,-3.986977069943661
USDJPY,CHFJPY,2,MR,21048,0.08969973394146712,0.05781967707253145,-840.0130318391035,-839.9825522107212,-3.990939908015505
USDJPY,CHFJPY,2,NO_TRADE,121190,0.08593118244079545,0.05501579565796461,-4891.385430456489,-4891.33977187464,-4.036129573773817
USDJPY,CHFJPY,7,TREND,1264,0.13844936708860758,0.10925918418696895,-48.93717428153604,-48.91561396378442,-3.8716118893620286
USDJPY,CHFJPY,7,MR,21048,0.09045990117825922,0.05908072783997054,-830.1945378875259,-830.1679892828103,-3.9442917991615642
USDJPY,CHFJPY,7,NO_TRADE,121185,0.08768411932169823,0.05655826995193319,-4848.977255263631,-4848.938443285961,-4.00130152680912
USDJPY,CHFJPY,8,TREND,1264,0.13212025316455697,0.07949875247168174,-52.93488640935124,-52.924763048098214,-4.187886583018295
USDJPY,CHFJPY,8,MR,21048,0.08941467122767009,0.055671231280450845,-839.7160836565822,-839.7026593051166,-3.9895290937693946
USDJPY,CHFJPY,8,NO_TRADE,121184,0.08766833905466068,0.057056290293048595,-4847.7006528056545,-4847.634791944255,-4.000281103780742
EURJPY,USDJPY,4,TREND,2144,0.13199626865671643,0.09353605709230618,-84.36931946552978,-84.33582876623781,-3.935136169101203
EURJPY,USDJPY,4,MR,18819,0.08512673362027738,0.060143598608905315,-751.7597618627453,-751.7261958934065,-3.994684955963363
EURJPY,USDJPY,4,NO_TRADE,122966,0.08704845241774149,0.06329862081693059,-4880.4579234607945,-4880.425306691591,-3.9689490781685945
EURJPY,GBPJPY,1,TREND,2454,0.17033414832925836,0.19989469259016243,-91.1866676696358,-91.12715625508669,-3.7158381283470168
EURJPY,GBPJPY,1,MR,20072,0.10771223595057793,0.08322164317633807,-806.2345718268227,-806.1685605583417,-4.0167126934377375
EURJPY,GBPJPY,1,NO_TRADE,119413,0.10538216107124015,0.0746374682197657,-4798.609788633246,-4798.500448739894,-4.0184986464063766
EURJPY,NZDJPY,1,TREND,2741,0.1718350966800438,0.13044245067972912,-110.09245236693998,-110.03674451380203,-4.0165068357147025
EURJPY,NZDJPY,1,MR,20956,0.12602595915251003,0.08903151201490217,-852.4273197468375,-852.3873197468365,-4.067700514157461
EURJPY,NZDJPY,1,NO_TRADE,120615,0.13253741242797332,0.09288013185478676,-4837.057532330277,-4837.2348049466445,-4.010328344177986
EURJPY,NZDJPY,3,TREND,2741,0.18387449835826342,0.14654095505897943,-107.63943529810338,-107.68624806247777,-3.927013327183633
EURJPY,NZDJPY,3,MR,20956,0.13113189539988548,0.09094421218263198,-837.7857782832626,-837.7464131373937,-3.9978324980113693
EURJPY,NZDJPY,3,NO_TRADE,120613,0.1333604172021258,0.09249546005809552,-4837.660178866307,-4837.597973069171,-4.010894496336471
EURJPY,CHFJPY,2,TREND,1270,0.12598425196850394,0.09370615309897878,-48.124485251646185,-48.11179429413306,-3.789329547373715
EURJPY,CHFJPY,2,MR,21198,0.08882913482404,0.05432699655486432,-855.4628909207701,-855.4076962389514,-4.035583031044297
EURJPY,CHFJPY,2,NO_TRADE,121769,0.08614672042966601,0.05623421043492773,-4892.556733332521,-4892.509607526321,-4.017900067613695
GBPJPY,AUDJPY,3,TREND,2698,0.19199406968124536,0.1570421017544963,-108.01593534111372,-108.0373309303091,-4.003555794703992
GBPJPY,AUDJPY,3,MR,19357,0.1258976081004288,0.08697346835039757,-779.6899956318223,-779.6709268310453,-4.027948523179327
GBPJPY,AUDJPY,3,NO_TRADE,109315,0.13261674975986826,0.09286675825346372,-4385.899644188913,-4385.845883640356,-4.012166348798347
GBPJPY,NZDJPY,1,TREND,2695,0.175139146567718,0.15259290492004404,-106.27638477798347,-106.17388238427567,-3.943465112355602
GBPJPY,NZDJPY,1,MR,20560,0.1313715953307393,0.09033117120014743,-819.4388362851221,-819.3810636980188,-3.985597452748648
GBPJPY,NZDJPY,1,NO_TRADE,119039,0.1318223439377011,0.0929973625321682,-4783.093140609424,-4782.835867993005,-4.018089147766215
GBPJPY,NZDJPY,3,TREND,2695,0.1717996289424861,0.13706785813166852,-111.20580539662876,-111.26458682446096,-4.126374968335019
GBPJPY,NZDJPY,3,MR,20560,0.12889105058365757,0.08616843403165417,-833.3879711797259,-833.338448851446,-4.053443439590106
GBPJPY,NZDJPY,3,NO_TRADE,119037,0.13315187714744156,0.09401294294331429,-4752.639704610013,-4752.621910407009,-3.992573489427668
GBPJPY,CHFJPY,3,TREND,1264,0.12025316455696203,0.09229208535503548,-51.28193385102707,-51.34206684864658,-4.0571150198597365
GBPJPY,CHFJPY,3,MR,20836,0.08758878863505472,0.058119176063995893,-830.7529057808384,-830.7061608866196,-3.987103598487418
GBPJPY,CHFJPY,3,NO_TRADE,120159,0.08774207508384724,0.05604199458896899,-4822.117308659489,-4822.0506690380125,-4.0131137148773615
AUDJPY,USDJPY,3,TREND,1944,0.13425925925925927,0.1011533208078044,-78.89494820720857,-78.86145793165409,-4.058382109424309
AUDJPY,USDJPY,3,MR,17196,0.08420562921609677,0.060630711555424426,-688.7869520588026,-688.7530255743661,-4.0055068158804525
AUDJPY,USDJPY,3,NO_TRADE,113676,0.0842921988810303,0.05826784936495375,-4584.371601524738,-4584.333541550979,-4.032840354626075
