leader,follower,lag,corr,pval,n
USDJPY,EURJPY,1,0.005372776823368179,0.04095165216371452,144735.0
USDJPY,EURJPY,2,-0.004562606277332498,0.08260125327821081,144734.0
USDJPY,EURJPY,3,0.003605100044057019,0.17021623981754114,144733.0
USDJPY,EURJPY,4,0.0025793020474213033,0.32646748304237977,144732.0
USDJPY,EURJPY,5,0.0013474998898411069,0.6082085552565459,144731.0
USDJPY,EURJPY,6,0.004695455329653663,0.07404987229205245,144730.0
USDJPY,EURJPY,7,0.0035015774123554107,0.18282504796225899,144729.0
USDJPY,EURJPY,8,0.004683462365761319,0.07479323663519136,144728.0
USDJPY,EURJPY,9,0.0036718255198885334,0.16245408143009654,144727.0
USDJPY,EURJPY,10,-0.002274179920651532,0.3869526396346046,144726.0
USDJPY,EURJPY,11,0.0009752162591366169,0.7106406143743136,144725.0
USDJPY,EURJPY,12,0.002706927918391617,0.3031137794208706,144724.0
USDJPY,GBPJPY,1,-0.0010638245842739338,0.6879245910647032,142565.0
USDJPY,GBPJPY,2,-0.008286725263905727,0.0017546269375349666,142564.0
USDJPY,GBPJPY,3,0.0022836895667629744,0.3885455521482758,142563.0
USDJPY,GBPJPY,4,0.004967824053500673,0.06069435637091726,142562.0
USDJPY,GBPJPY,5,-0.0008418007695435914,0.7506077495849525,142561.0
USDJPY,GBPJPY,6,0.0032462857162021716,0.2203129350141223,142560.0
USDJPY,GBPJPY,7,0.0036997057734702854,0.1624466742700445,142559.0
USDJPY,GBPJPY,8,0.0034975176719932565,0.1866530922774041,142558.0
USDJPY,GBPJPY,9,0.005719704639542315,0.030805843984818095,142557.0
USDJPY,GBPJPY,10,-0.0037031403158512585,0.16206142395967205,142556.0
USDJPY,GBPJPY,11,-0.0006205832262131838,0.814745717908759,142555.0
USDJPY,GBPJPY,12,-0.0018731683799011012,0.47942110954607275,142554.0
USDJPY,AUDJPY,1,0.0011591947082403816,0.6716616973503299,133708.0
USDJPY,AUDJPY,2,0.0028197927214266686,0.3025047555668955,133707.0
USDJPY,AUDJPY,3,-0.003282903667317072,0.22997897470801837,133706.0
USDJPY,AUDJPY,4,0.0015552181347839584,0.5695792035143658,133705.0
USDJPY,AUDJPY,5,0.0022827093303385906,0.4038986499104243,133704.0
USDJPY,AUDJPY,6,-0.006480551266632724,0.017805240839211235,133703.0
USDJPY,AUDJPY,7,0.002616747650156542,0.3386611928835198,133702.0
USDJPY,AUDJPY,8,0.004226514017579128,0.12224385222934775,133701.0
USDJPY,AUDJPY,9,0.0066555385250584975,0.01494939943775347,133700.0
USDJPY,AUDJPY,10,0.000965411637367322,0.7240896930583453,133699.0
USDJPY,AUDJPY,11,-0.0008609996162379499,0.7528988106165391,133698.0
USDJPY,AUDJPY,12,0.0042346337297207316,0.1215333925833778,133697.0
USDJPY,NZDJPY,1,-0.00228177652498128,0.3850093531412095,144945.0
USDJPY,NZDJPY,2,-0.004646497376691062,0.07689619714318914,144944.0
USDJPY,NZDJPY,3,-0.0005500649885947852,0.8341238596865013,144943.0
USDJPY,NZDJPY,4,0.0008276004620686092,0.7527045811215886,144942.0
USDJPY,NZDJPY,5,-0.00010698084043232574,0.9675123801903822,144941.0
USDJPY,NZDJPY,6,-0.00022713579165464987,0.9310911406820422,144940.0
USDJPY,NZDJPY,7,0.0033233079880075934,0.20579808464548777,144939.0
USDJPY,NZDJPY,8,0.005871832058712251,0.02538788979489088,144938.0
USDJPY,NZDJPY,9,0.0058620680844489416,0.025633212158920077,144937.0
USDJPY,NZDJPY,10,-0.004161391525335808,0.11313589906557102,144936.0
USDJPY,NZDJPY,11,-0.0028112213105607143,0.2845139468820602,144935.0
USDJPY,NZDJPY,12,0.002413878018436692,0.3581156778579869,144934.0
USDJPY,CHFJPY,1,-0.0021830004283113222,0.4060673293485156,144853.0
USDJPY,CHFJPY,2,-0.012773064031663058,1.16492895753018e-06,144852.0
USDJPY,CHFJPY,3,0.004283745982403272,0.10302607413528873,144851.0
USDJPY,CHFJPY,4,-0.0024464216730408017,0.35181166285147564,144850.0
USDJPY,CHFJPY,5,-0.0032533415467074756,0.2156482405961587,144849.0
USDJPY,CHFJPY,6,0.0015466884918186367,0.556097477588456,144848.0
USDJPY,CHFJPY,7,0.007402469615283232,0.004842878481029762,144847.0
USDJPY,CHFJPY,8,0.0071093373660301,0.006815486898154908,144846.0
USDJPY,CHFJPY,9,0.0035588278590317646,0.17559943255016125,144845.0
USDJPY,CHFJPY,10,-0.0023594930398664325,0.3691971514947777,144844.0
USDJPY,CHFJPY,11,-0.0008926731646758939,0.7340577025399434,144843.0
USDJPY,CHFJPY,12,0.004147346877907131,0.11447485969002567,144842.0
EURJPY,USDJPY,1,0.0001804961339227965,0.9452543256913344,144735.0
EURJPY,USDJPY,2,0.004250589546273579,0.10586008340559586,144734.0
EURJPY,USDJPY,3,-0.0011639704012289692,0.6578997067312673,144733.0
EURJPY,USDJPY,4,0.009181093800887639,0.0004778636066612176,144732.0
EURJPY,USDJPY,5,-0.0026257934662729555,0.3178249402438413,144731.0
EURJPY,USDJPY,6,0.004760288363531865,0.07014549809643679,144730.0
EURJPY,USDJPY,7,0.0035995798011106608,0.17087730924772299,144729.0
EURJPY,USDJPY,8,-0.0014064130566664931,0.5926227241516567,144728.0
EURJPY,USDJPY,9,0.003171693713905195,0.2275861822339934,144727.0
EURJPY,USDJPY,10,0.003250283001258191,0.21627516521189077,144726.0
EURJPY,USDJPY,11,-0.0008006476233801546,0.760681708987237,144725.0
EURJPY,USDJPY,12,-0.002193485565788332,0.4040258153769112,144724.0
EURJPY,GBPJPY,1,-0.009075262248276816,0.0006066929135704085,142727.0
EURJPY,GBPJPY,2,-0.004504831707475997,0.08877817166003787,142726.0
EURJPY,GBPJPY,3,0.0008776068569748632,0.7402306473511866,142725.0
EURJPY,GBPJPY,4,0.0056971886139353415,0.03137138687795281,142724.0
EURJPY,GBPJPY,5,-0.00046824433791927767,0.8595908085207709,142723.0
EURJPY,GBPJPY,6,0.0026264380415004407,0.32108844656082713,142722.0
EURJPY,GBPJPY,7,0.0016377880951650766,0.5360970935491947,142721.0
EURJPY,GBPJPY,8,-0.003424955050706683,0.19570608677099963,142720.0
EURJPY,GBPJPY,9,0.006815546583521761,0.010029922149902023,142719.0
EURJPY,GBPJPY,10,-0.0005798452157816691,0.8266093589412102,142718.0
EURJPY,GBPJPY,11,-0.0025286029495917156,0.3394531340732348,142717.0
EURJPY,GBPJPY,12,-0.0025390683654238676,0.3374597213678421,142716.0
EURJPY,AUDJPY,1,-0.005436158543509278,0.04676698273432444,133791.0
EURJPY,AUDJPY,2,-0.0015413741957601124,0.5728981689974164,133790.0
EURJPY,AUDJPY,3,-0.00675096525785129,0.01353709778572024,133789.0
EURJPY,AUDJPY,4,0.002821789729357083,0.3020160813156307,133788.0
EURJPY,AUDJPY,5,0.0021825643543151494,0.4246917833934962,133787.0
EURJPY,AUDJPY,6,-0.004155482848423678,0.1285276382771614,133786.0
EURJPY,AUDJPY,7,0.0016726447035395708,0.5406755106717099,133785.0
EURJPY,AUDJPY,8,-0.001462314740296369,0.5927475210472882,133784.0
EURJPY,AUDJPY,9,0.006830867598543266,0.012472421684345113,133783.0
EURJPY,AUDJPY,10,-0.0017292267666968147,0.5270730246942158,133782.0
EURJPY,AUDJPY,11,-0.0014282323283981396,0.6014010050877313,133781.0
EURJPY,AUDJPY,12,0.0034628763524268955,0.2053084305070022,133780.0
EURJPY,NZDJPY,1,-0.008723901535326616,0.0008895459197516126,145115.0
EURJPY,NZDJPY,2,-0.0044564560815425645,0.08957786684457839,145114.0
EURJPY,NZDJPY,3,-0.006895545498169147,0.008619779502288307,145113.0
EURJPY,NZDJPY,4,0.0027686422575996174,0.2915773817154454,145112.0
EURJPY,NZDJPY,5,-0.002687529786602141,0.30594604175702295,145111.0
EURJPY,NZDJPY,6,0.0033081632637241287,0.2076039440921502,145110.0
EURJPY,NZDJPY,7,0.002419592906759571,0.3566886413809936,145109.0
EURJPY,NZDJPY,8,-0.0013619191359765953,0.6039056389859832,145108.0
EURJPY,NZDJPY,9,0.0041562649568056345,0.11336777933546213,145107.0
EURJPY,NZDJPY,10,-0.003310614244847302,0.20727367032530625,145106.0
EURJPY,NZDJPY,11,-0.0011921626782960448,0.6497405817757671,145105.0
EURJPY,NZDJPY,12,-0.0016029338051890664,0.5414690608657228,145104.0
EURJPY,CHFJPY,1,-0.0036562587349470454,0.16377850877198952,145046.0
EURJPY,CHFJPY,2,-0.008762128215106423,0.0008466600899177505,145045.0
EURJPY,CHFJPY,3,-0.003938109196594679,0.13366422188295088,145044.0
EURJPY,CHFJPY,4,0.0027830521555835502,0.28918794349994287,145043.0
EURJPY,CHFJPY,5,-0.003975509254182895,0.13001544485724303,145042.0
EURJPY,CHFJPY,6,0.0036382268792623917,0.16587396139393057,145041.0
EURJPY,CHFJPY,7,2.2924927875380004e-05,0.9930340127557774,145040.0
EURJPY,CHFJPY,8,0.0024487018471069637,0.35104893343498694,145039.0
EURJPY,CHFJPY,9,0.0028581731724283414,0.2763764820552915,145038.0
EURJPY,CHFJPY,10,0.0008578194395774262,0.7439047634589053,145037.0
EURJPY,CHFJPY,11,-0.004514733178200583,0.08554765478227945,145036.0
EURJPY,CHFJPY,12,0.0011487098245918145,0.6617742755558931,145035.0
GBPJPY,USDJPY,1,0.0009647026972022532,0.7156734092872624,142565.0
GBPJPY,USDJPY,2,0.0037889275460876734,0.15254416327946807,142564.0
GBPJPY,USDJPY,3,-0.005859345274829246,0.026942987293719904,142563.0
GBPJPY,USDJPY,4,0.005779289933670843,0.02910158174204481,142562.0
GBPJPY,USDJPY,5,-0.0018853624210114694,0.47655431544021687,142561.0
GBPJPY,USDJPY,6,0.003969632975823529,0.13392246496733767,142560.0
GBPJPY,USDJPY,7,0.006064789683128998,0.02202811293412702,142559.0
GBPJPY,USDJPY,8,0.003081757796542791,0.24459939260991362,142558.0
GBPJPY,USDJPY,9,0.001976194611307539,0.4555825603197913,142557.0
GBPJPY,USDJPY,10,0.0024845567803854114,0.3482047842471322,142556.0
GBPJPY,USDJPY,11,-0.0030910550706738506,0.24318395363856432,142555.0
