Date,化学,ゴム製品,ガラス･土石製品,鉄鋼,海運業,卸売業,小売業,保険業,不動産業,サービス業
2021-01-05,99.8324744701476,100.10362823643952,99.8052140685985,101.59404158120869,100.67406500068239,99.77288375017176,98.97594982474767,100.41408740154374,99.60851322828267,99.66342033700953
2021-01-06,100.02277056776643,101.11668987126362,100.35103845711153,103.72824113153061,104.21930316745002,100.28263306514565,99.31207976874238,102.63642995909841,100.15517838463879,99.70788646532496
2021-01-07,102.28477814282691,102.75218592564053,102.56284742271333,106.426730752979,105.77658313040146,101.38299696181225,100.09836634298586,105.75893295813455,100.98954243651565,100.19991498961356
2021-01-08,103.63599596570576,104.68570621634666,103.713910079128,108.42404669527235,105.22825276621117,102.47827798985267,101.19419764031943,107.19501715920386,102.22920754255709,101.2077875418703
2021-01-12,105.22122758064414,104.82455141190495,103.84863338158834,107.86246746917078,105.27074138532377,103.57556289061007,100.67779921392233,106.69110150082312,101.3981671475672,99.74467013117471
2021-01-13,106.52182527132395,105.27117199846008,105.7159021090944,107.94746260458996,107.35691520763726,104.92150531269779,100.824872048426,107.44281299372508,102.45890325881439,99.52375192296171
2021-01-14,105.75298035124521,106.73168903404024,105.62961122618513,106.78864935187144,105.88449709474624,105.6053187585287,101.49117829679236,106.94364129442522,101.18910747684447,98.35853682892876
2021-01-15,104.03558451034141,105.55348165703431,104.57287514657139,104.72715313637133,103.9041735786659,104.00791192828198,100.99100950563749,105.24668023859805,100.10994490931625,97.01826228029589
2021-01-18,102.99225608110294,104.64204619385578,103.5413088957524,103.44672395235266,102.08290880570526,104.13171110679838,100.70367683177611,104.60270325948645,99.90393878057253,97.75564563178767
2021-01-19,102.89092893584846,104.97278470308483,103.69647226241136,103.18828277511953,102.2378877311223,103.26085093791258,100.19100983147655,104.81978095372557,100.70172951547826,97.31368005052529
2021-01-20,104.82367387809613,106.78657061645656,104.71447301948452,103.52311878779017,100.96538722937854,103.15990273168818,100.5276500011904,103.98823383260864,100.75055192807017,97.63744499253603
2021-01-21,105.3583718740582,107.1459180009285,105.02003904452523,103.53012140554753,100.99479223121845,103.03860404770377,100.65247394361275,103.6662575117226,101.62735387591188,99.43568492496586
2021-01-22,104.86344124559356,106.62724823781708,104.6730326608861,102.67070551948976,102.27801553013174,102.55185938056859,100.79379253134195,102.03291202029573,101.66595949089843,99.74167356749267
2021-01-25,106.66670542418804,106.29875605208127,105.30219950467993,102.29914405378877,100.58941873256519,103.99468016153406,100.87162239488401,101.9909554885362,102.41060039828476,100.34172376869088
2021-01-26,106.09140684811183,105.51256585278782,104.99363102705475,101.38922107423693,97.03495332006598,103.96879681739163,100.88578711141996,101.26763184375649,101.5311745059921,99.40133158776732
2021-01-27,106.36766381109994,105.93738549997181,105.72573956020499,101.55616517041341,95.36290417888657,104.7486053112554,101.0082583052597,101.71480104808015,102.72031867923921,101.34934309628771
