config,method,trades,win_rate,pf,total_pnl,max_dd,spread_reduced,stop_cnt,prop_Pseudo,prop_Real,prop_Both,prop_Neither,pf_nocost,pnl_nocost
w3_e003_er01,Include-Self,311,0.4694533762057878,1.2257032405864083,2.0085052705551325,-2.518249635487768,310,1,171,120,6,14,1.461659678447886,3.6940770184444753
w3_e003_er01,LOO,178,0.4101123595505618,0.7845654197536744,-0.7549871619772164,-1.3016225420357963,178,0,77,70,18,13,1.1220971981915036,0.35040020176692055
w3_e003_er10,Include-Self,299,0.431438127090301,1.1436773565576772,1.7137633523278684,-3.5762939179369293,298,1,215,58,19,7,1.3005365179162396,3.309693278842091
w3_e003_er10,LOO,176,0.4034090909090909,0.6803481340082833,-1.5694016566689506,-2.5121354874810766,176,0,88,49,31,8,0.8883172057651113,-0.47879586898864623
w24_e003_er10,Include-Self,1476,0.4329268292682927,1.1713739762961315,13.037507524943326,-7.520494154725912,1466,10,1012,326,85,53,1.2992860793685044,21.351397628116672
w24_e003_er10,LOO,782,0.45012787723785164,0.9393798473839848,-2.2124458212517624,-4.518413074760222,773,9,394,228,119,41,1.072866971066379,2.477012924012956
w6_e0015_er10,Include-Self,4582,0.36097773897861196,0.7971030992734276,-32.64051141620798,-33.043885547070545,4579,3,3326,939,227,90,0.9501818257244024,-7.230124827904245
w6_e0015_er10,LOO,2185,0.4077803203661327,0.7406935212767878,-16.881047823639143,-17.118177787661462,2182,3,1145,603,367,70,0.9385495931857896,-3.5406448666909567
w12_e002_er05,Include-Self,3375,0.38696296296296295,0.8467734619447316,-18.967423867770588,-21.164102239521725,3370,5,2303,800,186,86,0.9969390218752303,-0.34498194462346277
w12_e002_er05,LOO,1701,0.40329218106995884,0.685832352518838,-17.104763213076918,-17.953239000436405,1696,5,827,541,246,87,0.8612823093312788,-6.729969768058414
