pair,q,ac,spread,is_n,is_wr,is_pf,is_pnl_m,is_dd,oos_n,oos_wr,oos_pf,oos_pnl_m,oos_dd
EURJPY,0.03,0.1,0.5,607,40.527182866556835,1.2427322179173557,32.128879585372864,10.730806326701154,296,47.63513513513514,1.402139293037089,23.31926473642652,9.398079754415239
AUDJPY,0.03,0.0,0.6,417,43.645083932853716,1.4968324803022288,45.512553871580636,16.969138614154865,227,42.290748898678416,1.1867662278043314,9.771119852324784,15.447336412881944
USDJPY,0.03,0.2,0.2,149,38.92617449664429,1.5148342113703837,17.091108892402005,8.837601645891398,94,39.361702127659576,1.1449634952401446,2.721427691910042,6.302045624442908
