pair,q,ac_min,is_n,is_wr,is_pf,is_pnl_m,is_dd
USDJPY,0.03,0.0,334,40.41916167664671,1.1886231023846279,13.729052469947488,11.025152477577647
USDJPY,0.03,0.05,279,39.42652329749104,1.2414432448911792,14.930343002633645,9.062546331262363
USDJPY,0.03,0.1,230,39.130434782608695,1.3025482111938746,15.881016246304311,9.402068735845143
USDJPY,0.03,0.15,190,38.94736842105263,1.3221884365955785,13.711341058372799,11.168031622961987
USDJPY,0.03,0.2,149,38.92617449664429,1.5148342113703837,17.091108892402005,8.837601645891398
USDJPY,0.04,0.0,462,40.25974025974026,1.1940578784795406,20.545881333464457,16.212820020563502
USDJPY,0.04,0.05,389,39.588688946015424,1.220481297658321,19.863976075454747,13.550715356400172
USDJPY,0.04,0.1,324,39.50617283950617,1.2772479287976748,21.28492014752209,12.207238121481243
USDJPY,0.04,0.15,264,39.77272727272727,1.3587138269704915,22.031693747425347,13.555097367159638
USDJPY,0.04,0.2,207,38.64734299516908,1.4435095542189003,21.822913271808552,10.901774517249962
USDJPY,0.05,0.0,610,38.196721311475414,1.1110716678717398,15.832019720085821,20.114657786707813
USDJPY,0.05,0.05,506,37.94466403162055,1.1684165292897108,19.829705760028556,14.153243905904201
USDJPY,0.05,0.1,417,38.84892086330935,1.27453586613167,26.71635553866543,11.299323932938995
USDJPY,0.05,0.15,339,38.34808259587021,1.334938912180611,26.691846237648157,10.894865520814198
USDJPY,0.05,0.2,269,36.80297397769517,1.375087751549585,24.76262772609557,10.08129991716745
USDJPY,0.07,0.0,875,37.25714285714285,0.9889882605334486,-2.264171156401078,30.84043617502464
USDJPY,0.07,0.05,728,36.4010989010989,1.0116838985014711,2.0193462923801038,23.355947686340635
USDJPY,0.07,0.1,598,36.12040133779264,1.0663878268709357,9.542216490748165,17.28415850975225
USDJPY,0.07,0.15,476,35.08403361344538,1.1033295750468461,12.046126787620212,19.689919107473024
USDJPY,0.07,0.2,381,33.07086614173229,1.1026100035437254,10.03509769529238,19.035524146826212
USDJPY,0.1,0.0,1260,38.88888888888889,1.0340596800704382,9.930516014680377,25.236958706613578
USDJPY,0.1,0.05,1054,38.1404174573055,1.0324272260797436,8.022505656646388,24.87775589050957
USDJPY,0.1,0.1,868,38.47926267281106,1.0895273749527077,18.311422186660888,19.93423609254179
USDJPY,0.1,0.15,702,37.32193732193732,1.0974711135382833,16.5482394526601,19.82565838649936
USDJPY,0.1,0.2,550,35.45454545454545,1.071593767304726,9.90712699809507,15.34891994133769
