window,entry_thr,exit_ratio,trades,closed_cnt,forced_cnt,closed_pct,win_rate,pf,total_pnl,max_dd,avg_hold_bars,med_hold_bars,closed_pnl,forced_pnl
3,0.0005,0.1,1748,1748,0,100.0,0.284324942791762,0.39745831382044844,-1103.920481357879,-1105.4240256932235,7.7070938215102975,6.0,-0.631533456154393,
3,0.0005,0.2,2077,2077,0,100.0,0.24891670678863745,0.3445809175826876,-1272.58089745518,-1273.3167158423505,4.5999037072701014,4.0,-0.6127014431657102,
3,0.001,0.2,340,340,0,100.0,0.29705882352941176,0.6195902660145516,-56.43101229118564,-66.10795926977185,4.0852941176470585,3.0,-0.1659735655623107,
3,0.001,0.1,312,312,0,100.0,0.3108974358974359,0.5859053078964869,-66.22585432182271,-74.04085752609969,6.32051282051282,5.0,-0.2122623535955856,
3,0.003,0.2,7,7,0,100.0,0.0,0.0,-3.08281827424343,-2.8095126051123445,5.285714285714286,7.0,-0.4404026106062043,
3,0.003,0.1,7,7,0,100.0,0.0,0.0,-3.486319951329975,-2.809512605112345,5.714285714285714,7.0,-0.4980457073328536,
3,0.002,0.1,27,27,0,100.0,0.2962962962962963,0.35734374136782576,-5.971425049239142,-5.777056560748895,5.962962962962963,7.0,-0.2211638907125608,
3,0.002,0.2,27,27,0,100.0,0.2962962962962963,0.3077216869584857,-5.758936142854721,-5.473583796645975,4.555555555555555,4.0,-0.21329393121684154,
6,0.001,0.1,434,434,0,100.0,0.3317972350230415,0.5852179655799798,-93.35688563311207,-101.33590089357446,9.202764976958525,8.0,-0.21510803141270063,
3,0.005,0.2,1,1,0,100.0,0.0,0.0,-0.5294805939889624,0.0,7.0,7.0,-0.5294805939889624,
3,0.005,0.1,1,1,0,100.0,0.0,0.0,-0.5294805939889624,0.0,7.0,7.0,-0.5294805939889624,
3,0.005,0.0,1,1,0,100.0,0.0,0.0,-2.2786750386852628,0.0,2696.0,2696.0,-2.2786750386852628,
6,0.005,0.0,1,1,0,100.0,0.0,0.0,-0.6267808123340046,0.0,6919.0,6919.0,-0.6267808123340046,
6,0.003,0.2,13,13,0,100.0,0.15384615384615385,0.2336681092234572,-3.2399267724594702,-3.6789607274345286,6.6923076923076925,7.0,-0.24922513634303617,
6,0.002,0.1,41,41,0,100.0,0.3170731707317073,0.5235722803875046,-5.297260126859825,-6.243365911863085,7.975609756097561,7.0,-0.12920146650877623,
6,0.001,0.2,490,490,0,100.0,0.32857142857142857,0.6595144869611849,-75.68888761622006,-84.5459662491942,5.9918367346938775,5.0,-0.15446711758412257,
6,0.003,0.1,13,13,0,100.0,0.23076923076923078,0.3219483025710291,-2.549832124879728,-2.9888660798547866,7.6923076923076925,8.0,-0.19614093268305602,
6,0.002,0.2,42,42,0,100.0,0.2619047619047619,0.342506765244694,-8.330614536357862,-7.602544657949236,6.023809523809524,5.0,-0.19834796515137768,
12,0.005,0.1,2,2,0,100.0,0.0,0.0,-0.3737110157524537,-0.027258678071362397,14.0,14.0,-0.18685550787622685,
12,0.005,0.0,1,1,0,100.0,0.0,0.0,-0.6267808123340046,0.0,6925.0,6925.0,-0.6267808123340046,
12,0.002,0.1,74,74,0,100.0,0.3108108108108108,0.5112054261971295,-13.809758053931866,-14.853795213279515,13.27027027027027,12.0,-0.18661835208016034,
12,0.002,0.2,78,78,0,100.0,0.34615384615384615,0.4948517939992585,-14.260275081367123,-15.349811318236707,10.256410256410257,9.5,-0.18282403950470671,
12,0.003,0.2,18,18,0,100.0,0.2222222222222222,0.1765525492714038,-3.643474118979954,-3.122556569384317,11.38888888888889,11.5,-0.20241522883221968,
12,0.003,0.1,16,16,0,100.0,0.25,0.2078994200781351,-3.8067115116259638,-3.503741247499563,15.9375,14.0,-0.23791946947662274,
12,0.001,0.2,725,725,0,100.0,0.3006896551724138,0.4842613784228322,-194.67290377772116,-197.32975979380737,9.52551724137931,9.0,-0.2685143500382361,
12,0.001,0.1,641,641,0,100.0,0.3291731669266771,0.5365095228339312,-174.2971462151647,-179.638271096396,13.533541341653667,12.0,-0.2719144246726438,
6,0.005,0.2,1,1,0,100.0,0.0,0.0,-0.4646045755693162,0.0,6.0,6.0,-0.4646045755693162,
6,0.005,0.1,1,1,0,100.0,0.0,0.0,-0.4924026651986768,0.0,9.0,9.0,-0.4924026651986768,
24,0.005,0.1,5,5,0,100.0,0.4,0.6264456971250337,-0.18750056724203823,-0.36283655724274055,15.4,13.0,-0.037500113448407646,
24,0.002,0.1,120,120,0,100.0,0.3,0.4742080172213794,-24.11321626001256,-25.432078419987302,22.275,20.5,-0.200943468833438,
24,0.002,0.2,127,127,0,100.0,0.29133858267716534,0.41612235053045293,-26.468020320526364,-27.148755513742802,17.236220472440944,16.0,-0.20840960882304224,
