window,entry_thr,exit_ratio,trades,closed_pct,win_rate,pf,total_pnl,avg_hold,method
3,0.0005,0.0,27,70.37037037037037,0.4074074074074074,0.49717882066072344,-162.35691910119843,3932.4444444444443,Leave-One-Out
3,0.0005,0.1,1748,100.0,0.284324942791762,0.39745831382044844,-1103.920481357879,7.7070938215102975,Leave-One-Out
3,0.0005,0.2,2077,100.0,0.24891670678863745,0.3445809175826876,-1272.58089745518,4.5999037072701014,Leave-One-Out
3,0.001,0.0,27,70.37037037037037,0.48148148148148145,1.0372300888653454,3.9642859254168723,3695.4814814814813,Leave-One-Out
3,0.001,0.1,312,100.0,0.3108974358974359,0.5859053078964869,-66.22585432182271,6.32051282051282,Leave-One-Out
3,0.001,0.2,340,100.0,0.29705882352941176,0.6195902660145516,-56.43101229118564,4.0852941176470585,Leave-One-Out
3,0.002,0.0,14,64.28571428571429,0.5,2.124626375630473,17.954930610443284,3916.1428571428573,Leave-One-Out
3,0.002,0.1,27,100.0,0.2962962962962963,0.35734374136782576,-5.971425049239142,5.962962962962963,Leave-One-Out
3,0.002,0.2,27,100.0,0.2962962962962963,0.3077216869584857,-5.758936142854721,4.555555555555555,Leave-One-Out
3,0.003,0.0,6,50.0,0.5,1.0936516132006622,0.6269709008676443,5675.0,Leave-One-Out
3,0.003,0.1,7,100.0,0.0,0.0,-3.486319951329975,5.714285714285714,Leave-One-Out
3,0.003,0.2,7,100.0,0.0,0.0,-3.08281827424343,5.285714285714286,Leave-One-Out
3,0.005,0.0,1,100.0,0.0,0.0,-2.2786750386852628,2696.0,Leave-One-Out
3,0.005,0.1,1,100.0,0.0,0.0,-0.5294805939889624,7.0,Leave-One-Out
3,0.005,0.2,1,100.0,0.0,0.0,-0.5294805939889624,7.0,Leave-One-Out
6,0.0005,0.0,13,15.384615384615385,0.5384615384615384,1.4707213951936446,66.77803887891588,8290.153846153846,Leave-One-Out
6,0.0005,0.1,2174,99.9540018399264,0.2755289788408464,0.43370457087340375,-1283.6838396689352,10.128794848206072,Leave-One-Out
6,0.0005,0.2,2630,99.96197718631178,0.25741444866920155,0.3583362326584537,-1583.0794887638772,6.288593155893536,Leave-One-Out
6,0.001,0.0,13,15.384615384615385,0.5384615384615384,1.4729037926186894,32.60698319524824,8189.384615384615,Leave-One-Out
6,0.001,0.1,434,100.0,0.3317972350230415,0.5852179655799798,-93.35688563311207,9.202764976958525,Leave-One-Out
6,0.001,0.2,490,100.0,0.32857142857142857,0.6595144869611849,-75.68888761622006,5.9918367346938775,Leave-One-Out
6,0.002,0.0,10,20.0,0.7,9.265661098169298,41.745462769703366,6360.2,Leave-One-Out
6,0.002,0.1,41,100.0,0.3170731707317073,0.5235722803875046,-5.297260126859825,7.975609756097561,Leave-One-Out
6,0.002,0.2,42,100.0,0.2619047619047619,0.342506765244694,-8.330614536357862,6.023809523809524,Leave-One-Out
6,0.003,0.0,7,14.285714285714285,0.5714285714285714,2.678746541117605,8.088771033905669,7634.571428571428,Leave-One-Out
6,0.003,0.1,13,100.0,0.23076923076923078,0.3219483025710291,-2.549832124879728,7.6923076923076925,Leave-One-Out
6,0.003,0.2,13,100.0,0.15384615384615385,0.2336681092234572,-3.2399267724594702,6.6923076923076925,Leave-One-Out
6,0.005,0.0,1,100.0,0.0,0.0,-0.6267808123340046,6919.0,Leave-One-Out
6,0.005,0.1,1,100.0,0.0,0.0,-0.4924026651986768,9.0,Leave-One-Out
6,0.005,0.2,1,100.0,0.0,0.0,-0.4646045755693162,6.0,Leave-One-Out
12,0.0005,0.0,13,15.384615384615385,0.46153846153846156,0.5875449258708049,-92.39052904733038,8283.538461538461,Leave-One-Out
12,0.0005,0.1,2412,99.91708126036484,0.31923714759535654,0.4854221690346071,-1325.806462993433,14.075456053067994,Leave-One-Out
