str_thr,acf_pos,acf_neg,trades,win_rate,pf,total_pnl,max_dd,t_trades,t_wr,t_pf,m_trades,m_wr,m_pf,trend_pct,mr_pct
0.002,0.02,-0.02,499,0.45490981963927857,0.5186037208703941,-10.40533116906483,-10.552665949084302,84.0,0.27380952380952384,-4.514081397130592,415.0,0.491566265060241,-5.891249771934238,1.0046374403364053,58.05532712181971
0.002,0.15,-0.02,435,0.4689655172413793,0.5167989234765338,-8.535251869205961,-8.805649415940872,20.0,0.0,-2.644002097271725,415.0,0.491566265060241,-5.891249771934238,1.0046374403364053,58.05532712181971
0.002,0.02,-0.05,443,0.43340857787810383,0.5007006473441208,-9.311929275159773,-9.357494415309793,84.0,0.27380952380952384,-4.514081397130592,359.0,0.47075208913649025,-4.797847878029183,1.0046374403364053,58.05532712181971
0.002,0.15,-0.05,379,0.44591029023746703,0.49371969268374444,-7.441849975300908,-7.610477882166368,20.0,0.0,-2.644002097271725,359.0,0.47075208913649025,-4.797847878029183,1.0046374403364053,58.05532712181971
0.002,0.1,-0.02,453,0.45916114790286977,0.49226923567973974,-9.605867878654838,-9.876265425389745,38.0,0.10526315789473684,-3.714618106720602,415.0,0.491566265060241,-5.891249771934238,1.0046374403364053,58.05532712181971
0.002,0.08,-0.02,466,0.4613733905579399,0.4833855114892184,-10.21030052142527,-10.480698068160168,51.0,0.21568627450980393,-4.319050749491033,415.0,0.491566265060241,-5.891249771934238,1.0046374403364053,58.05532712181971
0.002,0.02,-0.08,387,0.4160206718346253,0.48268926933314665,-8.574641765672403,-8.630731852272623,84.0,0.27380952380952384,-4.514081397130592,303.0,0.45544554455445546,-4.06056036854181,1.0046374403364053,58.05532712181971
0.002,0.02,-0.1,342,0.41812865497076024,0.47303132774972123,-7.952435958295484,-7.965872828759833,84.0,0.27380952380952384,-4.514081397130592,258.0,0.46511627906976744,-3.4383545611648914,1.0046374403364053,58.05532712181971
0.002,0.05,-0.02,480,0.45625,0.4705616339582843,-10.923108668652464,-11.193506215387364,65.0,0.23076923076923078,-5.031858896718227,415.0,0.491566265060241,-5.891249771934238,1.0046374403364053,58.05532712181971
0.002,0.15,-0.08,323,0.42724458204334365,0.46892435598217114,-6.7045624658135345,-6.883715319129192,20.0,0.0,-2.644002097271725,303.0,0.45544554455445546,-4.06056036854181,1.0046374403364053,58.05532712181971
0.002,0.1,-0.05,397,0.4357682619647355,0.46644728530054963,-8.512465984749785,-8.68109389161524,38.0,0.10526315789473684,-3.714618106720602,359.0,0.47075208913649025,-4.797847878029183,1.0046374403364053,58.05532712181971
0.002,0.08,-0.05,410,0.43902439024390244,0.45729397131221655,-9.116898627520214,-9.285526534385665,51.0,0.21568627450980393,-4.319050749491033,359.0,0.47075208913649025,-4.797847878029183,1.0046374403364053,58.05532712181971
0.002,0.15,-0.1,278,0.4316546762589928,0.4540068095951708,-6.082356658436616,-6.238663301193036,20.0,0.0,-2.644002097271725,258.0,0.46511627906976744,-3.4383545611648914,1.0046374403364053,58.05532712181971
0.002,0.05,-0.05,424,0.4339622641509434,0.4435993167373661,-9.829706774747411,-9.998334681612862,65.0,0.23076923076923078,-5.031858896718227,359.0,0.47075208913649025,-4.797847878029183,1.0046374403364053,58.05532712181971
0.002,0.1,-0.08,341,0.41642228739002934,0.43981801419950134,-7.775178475262411,-7.954331328578069,38.0,0.10526315789473684,-3.714618106720602,303.0,0.45544554455445546,-4.06056036854181,1.0046374403364053,58.05532712181971
0.002,0.08,-0.08,354,0.4209039548022599,0.4309026211943848,-8.379611118032841,-8.55891941894479,51.0,0.21568627450980393,-4.319050749491033,303.0,0.45544554455445546,-4.06056036854181,1.0046374403364053,58.05532712181971
0.002,0.02,-0.15,250,0.376,0.42719446537105427,-6.776421772309655,-6.770471590383284,84.0,0.27380952380952384,-4.514081397130592,166.0,0.42771084337349397,-2.2623403751790616,1.0046374403364053,58.05532712181971
0.002,0.1,-0.1,296,0.4189189189189189,0.42292522800277155,-7.152972667885493,-7.309279310641916,38.0,0.10526315789473684,-3.714618106720602,258.0,0.46511627906976744,-3.4383545611648914,1.0046374403364053,58.05532712181971
0.0015,0.15,-0.02,425,0.4447058823529412,0.4226498595320889,-10.58730139738432,-10.684310090512598,30.0,0.03333333333333333,-3.3594681266569615,395.0,0.4759493670886076,-7.227833270727357,1.0046374403364053,58.05532712181971
0.002,0.05,-0.08,368,0.4157608695652174,0.4168544174546011,-9.092419265260038,-9.271572118575689,65.0,0.23076923076923078,-5.031858896718227,303.0,0.45544554455445546,-4.06056036854181,1.0046374403364053,58.05532712181971
0.002,0.08,-0.1,309,0.42394822006472493,0.4140878975698105,-7.7574053106559235,-7.930102590520056,51.0,0.21568627450980393,-4.319050749491033,258.0,0.46511627906976744,-3.4383545611648914,1.0046374403364053,58.05532712181971
0.0015,0.02,-0.02,529,0.4045368620037807,0.41184185156933345,-14.379991710094219,-14.353937636507064,134.0,0.19402985074626866,-7.152158439366863,395.0,0.4759493670886076,-7.227833270727357,1.0046374403364053,58.05532712181971
0.0015,0.15,-0.05,369,0.42276422764227645,0.40145925492929446,-9.034662026362927,-9.024296801076988,30.0,0.03333333333333333,-3.3594681266569615,339.0,0.45722713864306785,-5.675193899705966,1.0046374403364053,58.05532712181971
0.002,0.05,-0.1,323,0.4179566563467492,0.3995955565688136,-8.47021345788312,-8.606713095062895,65.0,0.23076923076923078,-5.031858896718227,258.0,0.46511627906976744,-3.4383545611648914,1.0046374403364053,58.05532712181971
0.0015,0.02,-0.05,473,0.38266384778012685,0.39510528254815613,-12.827352339072828,-12.693924347071453,134.0,0.19402985074626866,-7.152158439366863,339.0,0.45722713864306785,-5.675193899705966,1.0046374403364053,58.05532712181971
0.0015,0.1,-0.02,455,0.42417582417582417,0.3923330134114982,-12.290275301396731,-12.387283994525008,60.0,0.08333333333333333,-5.062442030669373,395.0,0.4759493670886076,-7.227833270727357,1.0046374403364053,58.05532712181971
0.0015,0.08,-0.02,471,0.42462845010615713,0.3856600650175387,-13.022887169471886,-13.119895862600162,76.0,0.15789473684210525,-5.795053898744529,395.0,0.4759493670886076,-7.227833270727357,1.0046374403364053,58.05532712181971
0.002,0.15,-0.15,186,0.3817204301075269,0.37731309245898925,-4.9063424724507865,-4.997064574239019,20.0,0.0,-2.644002097271725,166.0,0.42771084337349397,-2.2623403751790616,1.0046374403364053,58.05532712181971
0.0015,0.02,-0.08,422,0.36255924170616116,0.3759794625656673,-12.016559782600645,-11.89926101559425,134.0,0.19402985074626866,-7.152158439366863,288.0,0.4409722222222222,-4.864401343233782,1.0046374403364053,58.05532712181971
0.001,0.15,-0.02,377,0.40318302387267907,0.37560120940926267,-9.855487098342536,-9.870115954720367,57.0,0.08771929824561403,-4.06322335022033,320.0,0.459375,-5.792263748122206,1.0046374403364053,58.05532712181971
0.0015,0.15,-0.08,318,0.4025157232704403,0.3743837149973452,-8.223869469890744,-8.229633469599767,30.0,0.03333333333333333,-3.3594681266569615,288.0,0.4409722222222222,-4.864401343233782,1.0046374403364053,58.05532712181971
0.0015,0.05,-0.02,499,0.41082164328657317,0.37029608664811176,-14.316268949079348,-14.413277642207627,104.0,0.16346153846153846,-7.08843567835199,395.0,0.4759493670886076,-7.227833270727357,1.0046374403364053,58.05532712181971
0.0015,0.1,-0.05,399,0.40100250626566414,0.3677078312052471,-10.737635930375339,-10.727270705089397,60.0,0.08333333333333333,-5.062442030669373,339.0,0.45722713864306785,-5.675193899705966,1.0046374403364053,58.05532712181971
0.0015,0.08,-0.05,415,0.40240963855421685,0.36116376110081666,-11.470247798450496,-11.459882573164547,76.0,0.15789473684210525,-5.795053898744529,339.0,0.45722713864306785,-5.675193899705966,1.0046374403364053,58.05532712181971
0.0015,0.02,-0.1,378,0.35714285714285715,0.35921879086378905,-11.37685633805835,-11.223254724186356,134.0,0.19402985074626866,-7.152158439366863,244.0,0.44672131147540983,-4.224697898691487,1.0046374403364053,58.05532712181971
0.0015,0.15,-0.1,274,0.40145985401459855,0.34861962995542384,-7.584166025348448,-7.553627178191896,30.0,0.03333333333333333,-3.3594681266569615,244.0,0.44672131147540983,-4.224697898691487,1.0046374403364053,58.05532712181971
0.001,0.15,-0.05,334,0.3772455089820359,0.3469451159833356,-8.73065226848328,-8.708797604025255,57.0,0.08771929824561403,-4.06322335022033,277.0,0.4368231046931408,-4.66742891826295,1.0046374403364053,58.05532712181971
0.002,0.1,-0.15,204,0.36764705882352944,0.3456756046421226,-5.976958481899663,-6.067680583687894,38.0,0.10526315789473684,-3.714618106720602,166.0,0.42771084337349397,-2.2623403751790616,1.0046374403364053,58.05532712181971
0.0015,0.05,-0.05,443,0.38826185101580135,0.3451746462702517,-12.763629578057955,-12.753264352772005,104.0,0.16346153846153846,-7.08843567835199,339.0,0.45722713864306785,-5.675193899705966,1.0046374403364053,58.05532712181971
0.002,0.08,-0.15,217,0.3778801843317972,0.34048920539398037,-6.581391124670095,-6.672113226458325,51.0,0.21568627450980393,-4.319050749491033,166.0,0.42771084337349397,-2.2623403751790616,1.0046374403364053,58.05532712181971
0.0015,0.1,-0.08,348,0.3793103448275862,0.3396556097883822,-9.926843373903154,-9.932607373612187,60.0,0.08333333333333333,-5.062442030669373,288.0,0.4409722222222222,-4.864401343233782,1.0046374403364053,58.05532712181971
0.0015,0.08,-0.08,364,0.38186813186813184,0.3340195960177739,-10.65945524197831,-10.66521924168734,76.0,0.15789473684210525,-5.795053898744529,288.0,0.4409722222222222,-4.864401343233782,1.0046374403364053,58.05532712181971
0.001,0.02,-0.02,613,0.3278955954323002,0.3333097268190558,-19.58182162087534,-19.529366041061095,293.0,0.18430034129692832,-13.789557872753134,320.0,0.459375,-5.792263748122206,1.0046374403364053,58.05532712181971
0.002,0.05,-0.15,231,0.3722943722943723,0.32752743782336186,-7.2941992718972894,-7.384921373685522,65.0,0.23076923076923078,-5.031858896718227,166.0,0.42771084337349397,-2.2623403751790616,1.0046374403364053,58.05532712181971
0.0015,0.05,-0.08,392,0.3673469387755102,0.3186316991262115,-11.952837021585772,-11.958601021294806,104.0,0.16346153846153846,-7.08843567835199,288.0,0.4409722222222222,-4.864401343233782,1.0046374403364053,58.05532712181971
0.001,0.1,-0.02,441,0.36961451247165533,0.3180756583644473,-13.662957799882742,-13.677586656260571,121.0,0.1322314049586777,-7.870694051760536,320.0,0.459375,-5.792263748122206,1.0046374403364053,58.05532712181971
0.001,0.08,-0.02,473,0.3699788583509514,0.31624561407050333,-14.963281748245095,-14.977910604622922,153.0,0.1830065359477124,-9.171018000122888,320.0,0.459375,-5.792263748122206,1.0046374403364053,58.05532712181971
0.001,0.02,-0.05,570,0.30701754385964913,0.315309119040353,-18.456986791016085,-18.396891890461163,293.0,0.18430034129692832,-13.789557872753134,277.0,0.4368231046931408,-4.66742891826295,1.0046374403364053,58.05532712181971
0.0015,0.1,-0.1,304,0.375,0.31363066606893747,-9.28713992936086,-9.256601082204293,60.0,0.08333333333333333,-5.062442030669373,244.0,0.44672131147540983,-4.224697898691487,1.0046374403364053,58.05532712181971
0.0015,0.02,-0.15,291,0.3024054982817869,0.3101581315363625,-10.16319885713548,-10.076908389166599,134.0,0.19402985074626866,-7.152158439366863,157.0,0.39490445859872614,-3.011040417768618,1.0046374403364053,58.05532712181971
0.0015,0.08,-0.1,320,0.378125,0.30915660430797304,-10.019751797436017,-9.989212950279454,76.0,0.15789473684210525,-5.795053898744529,244.0,0.44672131147540983,-4.224697898691487,1.0046374403364053,58.05532712181971
