window,entry_thr,exit_ratio,trades,closed_pct,win_rate,pf,total_pnl,avg_hold,method
3,0.0005,0.0,28,67.85714285714286,0.4642857142857143,0.4809330528509922,-164.89035026970038,4080.1785714285716,Include-Self
3,0.0005,0.1,1522,100.0,0.24967148488830487,0.39347441639412173,-1140.9335211638045,8.197766097240473,Include-Self
3,0.0005,0.2,1791,100.0,0.22557230597431602,0.40604443784936445,-1169.4862597921779,4.927414852037968,Include-Self
3,0.001,0.0,24,62.5,0.5,1.7917180575365355,53.97983667271433,4393.375,Include-Self
3,0.001,0.1,217,100.0,0.30414746543778803,0.948395206029334,-8.069578425069501,7.7695852534562215,Include-Self
3,0.001,0.2,237,100.0,0.3037974683544304,0.7700984393894427,-38.85675719363156,5.008438818565401,Include-Self
3,0.002,0.0,13,30.76923076923077,0.46153846153846156,1.1133837701892835,4.445508014310927,5851.538461538462,Include-Self
3,0.002,0.1,38,100.0,0.18421052631578946,0.5120747383996564,-14.34991021818427,7.526315789473684,Include-Self
3,0.002,0.2,40,100.0,0.275,0.6529529609986606,-8.421260408633946,5.525,Include-Self
3,0.003,0.0,9,22.22222222222222,0.4444444444444444,1.201662677291764,4.193155806588264,5966.666666666667,Include-Self
3,0.003,0.1,15,100.0,0.2,0.5083171162849288,-4.815193641637887,7.266666666666667,Include-Self
3,0.003,0.2,16,100.0,0.25,0.7936520563922864,-1.497615584968156,5.625,Include-Self
3,0.005,0.0,3,33.33333333333333,0.3333333333333333,1.0423556312547573,0.13215709249192464,4721.666666666667,Include-Self
3,0.005,0.1,5,100.0,0.4,1.2280084990441318,0.4139017651253907,10.2,Include-Self
3,0.005,0.2,6,100.0,0.5,1.0529615647251596,0.09451220228973156,5.333333333333333,Include-Self
6,0.0005,0.0,14,14.285714285714285,0.42857142857142855,0.3159606937864443,-177.77603529685314,8392.57142857143,Include-Self
6,0.0005,0.1,2066,100.0,0.2700871248789932,0.44652941023635373,-1315.4251966723948,11.527589545014521,Include-Self
6,0.0005,0.2,2448,100.0,0.24509803921568626,0.422066160193019,-1492.7626486724994,7.444852941176471,Include-Self
6,0.001,0.0,14,14.285714285714285,0.5,2.1291171677859406,59.12779205386209,8176.857142857143,Include-Self
6,0.001,0.1,398,100.0,0.2914572864321608,0.6522715689718178,-99.70696279946335,10.467336683417086,Include-Self
6,0.001,0.2,440,100.0,0.275,0.6003621406697358,-121.27839798472594,7.3568181818181815,Include-Self
6,0.002,0.0,12,8.333333333333332,0.6666666666666666,1.2936285792045321,12.249146213805517,8946.583333333334,Include-Self
6,0.002,0.1,64,100.0,0.328125,0.7786647775250288,-8.552530274792748,11.140625,Include-Self
6,0.002,0.2,70,100.0,0.32857142857142857,0.8744057443861162,-4.988364475511651,7.8,Include-Self
6,0.003,0.0,11,9.090909090909092,0.5454545454545454,1.8311879053595521,13.701848939096912,6313.090909090909,Include-Self
6,0.003,0.1,24,100.0,0.2916666666666667,0.539939917903254,-7.865885948351841,10.083333333333334,Include-Self
6,0.003,0.2,24,100.0,0.2916666666666667,0.6008057387809554,-5.1591625413817495,7.375,Include-Self
6,0.005,0.0,4,25.0,0.25,0.8182685725700981,-0.722319600931387,4791.25,Include-Self
6,0.005,0.1,6,100.0,0.16666666666666666,0.629857053912938,-1.2027081917777016,11.5,Include-Self
6,0.005,0.2,6,100.0,0.16666666666666666,0.646984613707127,-1.1166895993937498,9.666666666666666,Include-Self
12,0.0005,0.0,14,14.285714285714285,0.6428571428571429,1.5889469180786266,77.80729411178068,8394.07142857143,Include-Self
12,0.0005,0.1,2302,100.0,0.2528236316246742,0.3975075231150628,-1788.6492172375456,16.89052997393571,Include-Self
12,0.0005,0.2,2722,100.0,0.23585598824393827,0.3482295398974712,-2126.7495539876177,11.9478324761205,Include-Self
12,0.001,0.0,14,14.285714285714285,0.42857142857142855,0.6968378478023273,-33.43544142056476,8212.92857142857,Include-Self
12,0.001,0.1,600,100.0,0.26166666666666666,0.5524747605411002,-203.73066409990093,16.506666666666668,Include-Self
12,0.001,0.2,661,100.0,0.2586989409984871,0.5292171719850672,-217.4132698767521,12.2178517397882,Include-Self
12,0.002,0.0,12,8.333333333333332,0.6666666666666666,2.8433295273312935,40.53013668148442,9102.833333333334,Include-Self
12,0.002,0.1,108,100.0,0.24074074074074073,0.609665591571624,-23.529895212936253,14.99074074074074,Include-Self
12,0.002,0.2,114,100.0,0.24561403508771928,0.6261764533171703,-22.36959784276648,11.614035087719298,Include-Self
12,0.003,0.0,11,9.090909090909092,0.5454545454545454,1.8483734588823797,13.987687114043858,6403.727272727273,Include-Self
12,0.003,0.1,40,100.0,0.35,0.6502413772584998,-6.907763067440713,14.525,Include-Self
12,0.003,0.2,41,100.0,0.34146341463414637,0.6703000473725967,-6.649285615678199,12.902439024390244,Include-Self
12,0.005,0.0,4,25.0,0.5,1.094595558506719,0.33703297673202126,4796.5,Include-Self
12,0.005,0.1,10,100.0,0.2,0.38537477575942725,-2.496397743915435,12.2,Include-Self
12,0.005,0.2,10,100.0,0.2,0.426578168273063,-2.1040801796919695,11.7,Include-Self
24,0.0005,0.0,12,0.0,0.16666666666666666,0.10110594519988483,-288.70716033619084,9786.166666666666,Include-Self
24,0.0005,0.1,2183,99.86257443884563,0.27530920751259735,0.492322639336417,-1508.7328360732458,26.335318369216676,Include-Self
24,0.0005,0.2,2607,99.96164173379364,0.2554660529344074,0.45470713885493286,-1815.7264820122275,19.444188722669736,Include-Self
24,0.001,0.0,12,0.0,0.08333333333333333,0.09336577032983785,-166.675166903806,9747.916666666666,Include-Self
24,0.001,0.1,806,100.0,0.2555831265508685,0.44607516060132085,-408.96252151053045,26.08560794044665,Include-Self
24,0.001,0.2,874,100.0,0.23684210526315788,0.40060371756069346,-452.2748181976807,20.497711670480548,Include-Self
24,0.002,0.0,12,0.0,0.4166666666666667,0.6149819432344708,-21.89488716116106,9475.0,Include-Self
24,0.002,0.1,148,100.0,0.25675675675675674,0.44489854846744076,-63.54457763480691,24.094594594594593,Include-Self
24,0.002,0.2,158,100.0,0.23417721518987342,0.43028257759354543,-67.72997126988305,20.734177215189874,Include-Self
24,0.003,0.0,11,0.0,0.5454545454545454,1.4230560827653216,7.905356490153743,7534.0,Include-Self
24,0.003,0.1,54,100.0,0.2962962962962963,0.3693222019830726,-20.721684081725407,25.296296296296298,Include-Self
24,0.003,0.2,54,100.0,0.2962962962962963,0.37826445118225993,-20.038674700110345,22.24074074074074,Include-Self
24,0.005,0.0,7,0.0,0.2857142857142857,0.39262280346966116,-5.986620146627741,4376.857142857143,Include-Self
24,0.005,0.1,13,100.0,0.15384615384615385,0.4177709116019945,-3.220416629861478,19.615384615384617,Include-Self
24,0.005,0.2,13,100.0,0.23076923076923078,0.3196422582774524,-4.291440879467401,17.46153846153846,Include-Self
