pair,strategy,direction,entry_time,entry_price,partial_exit_time,partial_exit_price,partial_pnl_pct,exit_time,exit_price,exit_reason,pnl_pct
USDJPY,MEAN_REVERSION,LONG,2026-03-23 00:05:00+00:00,159.0838123535156,,,,2026-03-23 00:25:00+00:00,159.18315333862304,midline,0.06244569050599669
USDJPY,MEAN_REVERSION,SHORT,2026-03-23 23:45:00+00:00,158.43431021728517,,,,2026-03-24 00:50:00+00:00,158.48269422912597,midline,-0.03053884715655819
USDJPY,MEAN_REVERSION,SHORT,2026-03-25 04:05:00+00:00,158.8422181213379,,,,2026-03-25 06:35:00+00:00,158.98578554992676,midline,-0.09038367147402582
USDJPY,MEAN_REVERSION,SHORT,2026-03-25 07:30:00+00:00,159.05318971252441,,,,2026-03-25 08:05:00+00:00,159.03079271850586,midline,0.014081449142289149
USDJPY,MEAN_REVERSION,LONG,2026-03-25 21:05:00+00:00,159.42688327331544,,,,2026-03-25 21:50:00+00:00,159.42311083068847,midline,-0.0023662525099332754
USDJPY,MEAN_REVERSION,LONG,2026-03-27 00:50:00+00:00,159.56790268249512,,,,2026-03-27 02:15:00+00:00,159.53308944091796,midline,-0.021817195684037394
USDJPY,MEAN_REVERSION,LONG,2026-03-30 15:40:00+00:00,159.4328811767578,,,,2026-03-30 17:05:00+00:00,159.43411021728517,midline,0.0007708827177266286
USDJPY,TREND,SHORT,2026-03-31 16:40:00+00:00,158.87721478271484,,,,2026-03-31 16:45:00+00:00,158.9807949279785,state_change,-0.0651950913196142
USDJPY,MEAN_REVERSION,LONG,2026-04-03 03:55:00+00:00,159.6029133453369,,,,2026-04-03 04:55:00+00:00,159.58207561340333,midline,-0.013055984691512368
USDJPY,MEAN_REVERSION,SHORT,2026-04-03 12:30:00+00:00,159.62506628112794,,,,2026-04-03 12:40:00+00:00,159.58891823730468,midline,0.022645593618486615
USDJPY,MEAN_REVERSION,LONG,2026-04-03 20:00:00+00:00,159.62591293945312,,,,2026-04-03 20:45:00+00:00,159.60306750793458,midline,-0.014311856451021399
USDJPY,MEAN_REVERSION,SHORT,2026-04-06 06:35:00+00:00,159.57408160705566,,,,2026-04-06 07:40:00+00:00,159.6029133453369,midline,-0.018067933082166476
USDJPY,MEAN_REVERSION,LONG,2026-04-07 08:10:00+00:00,159.66193088378907,,,,2026-04-07 09:45:00+00:00,159.56108371887208,midline,-0.06316293706255527
USDJPY,TREND,SHORT,2026-04-08 00:50:00+00:00,158.60427438659667,,,,2026-04-08 00:55:00+00:00,158.71873385925292,state_change,-0.07216670111755974
USDJPY,MEAN_REVERSION,LONG,2026-04-08 11:20:00+00:00,158.34365885925294,,,,2026-04-08 11:25:00+00:00,158.22434550476075,state_change,-0.07535088891575947
