window,threshold,n,mean,skew,neg_rt
12,0.0,2453,-0.005058504432291523,-0.16765433052553,46.88136975132491
12,0.05,2041,-0.003548185825619791,-0.042413149687380365,47.18275355218031
12,0.1,1685,-0.005083852853878679,-1.1314842482665224,46.94362017804154
12,0.15,1355,-0.005707824229500308,-1.2347164407252247,47.15867158671587
24,0.0,2802,-0.0041932481880810986,-1.2523317537847722,47.71591720199857
24,0.05,2134,-0.002726948989506196,-0.8797268432827565,47.37582005623243
24,0.1,1602,0.0026657835797619643,-0.9024347770887444,46.254681647940075
24,0.15,1201,0.004749920198046816,-1.2423391760866698,45.9616985845129
48,0.0,3196,8.691313195652156e-05,-0.6299016992978071,47.49687108886108
48,0.05,2323,0.0022416734596371127,-0.6678328493478677,46.62074903142488
48,0.1,1492,0.008138555105598697,-0.05465354658314749,45.30831099195711
48,0.15,948,0.008863246409193106,-0.022465242157970956,45.46413502109704
