method,period,label,n,win_rate,pf,total_pnl,max_dd,dd_pct
全組み合わせ,IS,全組み合わせ IS,27618,35.96929538706641,0.7900065103601935,-15824079.832427941,16075514.703960305,1607.5514703960305
全組み合わせ,OOS,全組み合わせ OOS,8914,35.20305137985192,0.7383301155372403,-6646199.259792959,6857660.706988492,685.7660706988491
全組み合わせ,ALL,全組み合わせ 全期間,36532,35.78232782218329,0.7769793922351551,-22470279.092220902,22868950.04186214,2286.895004186214
前週PF,IS,前週PF IS,6187,35.91401325359625,0.7831314837518752,-3601502.075340922,3941976.246373781,394.1976246373781
前週PF,OOS,前週PF OOS,1425,35.85964912280702,0.7747346437152298,-914412.5992341198,1155393.8486965348,115.53938486965347
前週PF,ALL,前週PF 全期間,7612,35.903836048344715,0.7814821640837883,-4515914.674575042,5076879.5403965935,507.6879540396593
複合スコア,IS,複合スコア IS,6222,37.09418193506911,0.9207238561238924,-1236098.7699498106,1737292.3173495457,173.72923173495457
複合スコア,OOS,複合スコア OOS,2151,39.47001394700139,0.960478257518465,-211404.34771615986,472599.1883761939,47.25991883761939
複合スコア,ALL,複合スコア 全期間,8373,37.70452645407858,0.9308783368690337,-1447503.1176659705,2023455.1945178085,202.34551945178083
