pair,threshold,n,win_rate,pf,pnl_man,max_dd_pct,e2_rate
GBPUSD,0.01,1079,57.3,0.675,-83.6,88.3,47.9
AUDUSD,0.01,1101,55.3,0.638,-96.2,97.7,48.7
