datetime,direction,move0_pip,has_e2,pnl1,pnl2,pnl_total,month
2022-01-03 14:45:00,buy,11.7,True,-10000.0,-10000.0,-20000.0,2022-01
2022-01-03 15:25:00,buy,10.5,True,2360.0,-10000.0,-7640.0,2022-01
2022-01-04 14:55:00,buy,11.0,False,2360.0,0.0,2360.0,2022-01
2022-01-05 09:20:00,buy,10.6,False,2360.0,0.0,2360.0,2022-01
2022-01-05 13:40:00,sell,11.0,True,2360.0,2360.0,4720.0,2022-01
2022-01-05 19:05:00,buy,14.8,False,2360.0,0.0,2360.0,2022-01
2022-01-05 19:30:00,buy,12.8,False,2360.0,0.0,2360.0,2022-01
2022-01-06 08:45:00,buy,11.0,False,2360.0,0.0,2360.0,2022-01
2022-01-06 14:30:00,sell,12.0,True,2360.0,2360.0,4720.0,2022-01
2022-01-06 15:50:00,buy,10.7,False,2360.0,0.0,2360.0,2022-01
2022-01-07 13:35:00,buy,18.8,False,2360.0,0.0,2360.0,2022-01
2022-01-07 13:50:00,buy,11.3,True,2360.0,-10000.0,-7640.0,2022-01
2022-01-07 15:50:00,sell,13.9,False,2360.0,0.0,2360.0,2022-01
2022-01-10 15:50:00,sell,14.1,False,2360.0,0.0,2360.0,2022-01
2022-01-11 08:05:00,sell,16.2,False,2360.0,0.0,2360.0,2022-01
2022-01-11 11:55:00,buy,11.2,False,2360.0,0.0,2360.0,2022-01
2022-01-11 16:00:00,sell,10.6,True,-6114.0,-10000.0,-16114.0,2022-01
2022-01-12 13:35:00,sell,19.6,True,2360.0,2360.0,4720.0,2022-01
2022-01-13 11:55:00,buy,12.9,True,2360.0,-10000.0,-7640.0,2022-01
2022-01-13 15:50:00,buy,10.6,False,2360.0,0.0,2360.0,2022-01
2022-01-14 15:00:00,buy,15.2,False,2360.0,0.0,2360.0,2022-01
2022-01-18 03:35:00,buy,16.3,True,2360.0,-10000.0,-7640.0,2022-01
2022-01-18 11:55:00,buy,12.3,True,-10000.0,2360.0,-7640.0,2022-01
2022-01-18 13:30:00,sell,10.9,True,5484.0,2360.0,7844.0,2022-01
2022-01-18 15:00:00,buy,13.3,False,2360.0,0.0,2360.0,2022-01
2022-01-19 13:00:00,sell,11.9,True,2857.0,2360.0,5217.0,2022-01
2022-01-20 14:55:00,sell,14.8,False,2360.0,0.0,2360.0,2022-01
2022-01-21 14:55:00,sell,10.4,False,2360.0,0.0,2360.0,2022-01
2022-01-24 15:00:00,buy,21.5,True,2360.0,2360.0,4720.0,2022-01
2022-01-24 15:45:00,buy,11.1,False,-10000.0,0.0,-10000.0,2022-01
2022-01-26 14:25:00,sell,11.0,False,2360.0,0.0,2360.0,2022-01
2022-01-26 19:30:00,buy,16.3,True,-10000.0,-10000.0,-20000.0,2022-01
2022-01-26 20:00:00,buy,10.5,True,2360.0,2360.0,4720.0,2022-01
2022-01-27 08:40:00,sell,12.8,True,2360.0,-10000.0,-7640.0,2022-01
2022-01-27 10:50:00,buy,12.8,True,-5059.0,-10000.0,-15059.0,2022-01
2022-01-27 11:35:00,buy,12.1,True,2360.0,-10000.0,-7640.0,2022-01
2022-01-27 15:55:00,sell,21.2,True,-2435.0,2360.0,-75.0,2022-01
2022-01-27 17:45:00,buy,10.9,False,2360.0,0.0,2360.0,2022-01
2022-01-28 10:55:00,sell,10.6,False,2360.0,0.0,2360.0,2022-01
2022-01-28 13:30:00,sell,19.2,True,-10000.0,2360.0,-7640.0,2022-01
2022-01-28 13:55:00,sell,14.1,False,2360.0,0.0,2360.0,2022-01
2022-01-28 15:35:00,sell,12.1,False,2360.0,0.0,2360.0,2022-01
2022-01-28 16:10:00,sell,12.5,True,-10000.0,2360.0,-7640.0,2022-01
2022-01-31 07:55:00,sell,12.6,False,2360.0,0.0,2360.0,2022-01
2022-01-31 11:55:00,buy,23.8,False,2360.0,0.0,2360.0,2022-01
