datetime,direction,move0_pip,has_e2,pnl1,pnl2,pnl_total,month
2022-01-05 19:05:00,buy,14.1,False,2500.0,0.0,2500.0,2022-01
2022-01-06 14:30:00,sell,15.7,True,2500.0,-5000.0,-2500.0,2022-01
2022-01-06 15:50:00,buy,10.9,True,2500.0,-5000.0,-2500.0,2022-01
2022-01-07 13:35:00,buy,20.4,False,2500.0,0.0,2500.0,2022-01
2022-01-12 13:30:00,sell,13.3,True,-5000.0,-1530.0,-6530.0,2022-01
2022-01-14 15:00:00,buy,14.9,False,2500.0,0.0,2500.0,2022-01
2022-01-18 03:35:00,buy,12.5,True,-5000.0,-821.0,-5821.0,2022-01
2022-01-20 00:30:00,sell,11.6,False,2500.0,0.0,2500.0,2022-01
2022-01-24 15:20:00,sell,11.4,True,-5000.0,-5000.0,-10000.0,2022-01
2022-01-25 00:30:00,sell,18.2,False,2500.0,0.0,2500.0,2022-01
2022-01-25 15:10:00,sell,11.1,True,-5000.0,-5000.0,-10000.0,2022-01
2022-01-26 19:30:00,buy,14.8,False,-5000.0,0.0,-5000.0,2022-01
2022-01-26 19:45:00,buy,13.3,False,2500.0,0.0,2500.0,2022-01
2022-01-26 20:00:00,buy,17.5,True,2500.0,2500.0,5000.0,2022-01
2022-01-28 13:30:00,sell,22.2,True,-1287.0,-5000.0,-6287.0,2022-01
2022-01-28 15:45:00,sell,11.5,True,2500.0,2500.0,5000.0,2022-01
2022-02-01 03:30:00,buy,30.8,False,122.0,0.0,122.0,2022-02
2022-02-01 15:00:00,buy,11.8,False,2500.0,0.0,2500.0,2022-02
2022-02-02 13:55:00,buy,12.2,True,2500.0,-5000.0,-2500.0,2022-02
2022-02-03 14:00:00,sell,11.6,True,-5043.0,-5000.0,-10043.0,2022-02
2022-02-03 14:45:00,buy,14.0,True,-269.0,-5000.0,-5269.0,2022-02
2022-02-04 01:35:00,buy,10.8,False,2907.0,0.0,2907.0,2022-02
2022-02-04 13:30:00,buy,34.3,False,1153.0,0.0,1153.0,2022-02
2022-02-04 14:40:00,sell,11.3,False,2500.0,0.0,2500.0,2022-02
2022-02-10 13:30:00,buy,39.4,False,2500.0,0.0,2500.0,2022-02
2022-02-10 14:30:00,sell,11.1,True,-5000.0,2500.0,-2500.0,2022-02
2022-02-10 15:25:00,sell,12.8,True,-5000.0,-5000.0,-10000.0,2022-02
2022-02-10 17:45:00,buy,19.9,True,2500.0,-5000.0,-2500.0,2022-02
2022-02-11 18:35:00,buy,18.2,True,2500.0,-5000.0,-2500.0,2022-02
2022-02-11 19:05:00,buy,11.1,False,2500.0,0.0,2500.0,2022-02
2022-02-11 20:00:00,sell,12.9,False,2500.0,0.0,2500.0,2022-02
2022-02-14 07:00:00,buy,11.0,False,2500.0,0.0,2500.0,2022-02
2022-02-14 12:35:00,sell,17.1,True,308.0,2500.0,2808.0,2022-02
2022-02-14 13:30:00,buy,11.1,False,2500.0,0.0,2500.0,2022-02
2022-02-14 18:50:00,buy,11.6,True,-1017.0,-5000.0,-6017.0,2022-02
2022-02-15 08:05:00,sell,19.1,True,-4332.0,-5000.0,-9332.0,2022-02
2022-02-15 14:45:00,buy,11.6,True,2500.0,-5000.0,-2500.0,2022-02
2022-02-17 03:50:00,buy,21.2,True,-5000.0,2500.0,-2500.0,2022-02
2022-02-17 06:25:00,sell,18.6,False,2500.0,0.0,2500.0,2022-02
2022-02-17 08:25:00,buy,19.2,False,2500.0,0.0,2500.0,2022-02
2022-02-18 01:30:00,sell,14.4,False,260.0,0.0,260.0,2022-02
2022-02-21 00:50:00,sell,15.4,False,-373.0,0.0,-373.0,2022-02
2022-02-24 02:50:00,buy,15.1,False,2500.0,0.0,2500.0,2022-02
2022-02-24 05:05:00,buy,10.9,False,-46.0,0.0,-46.0,2022-02
2022-02-24 16:00:00,sell,16.0,True,-5000.0,2500.0,-2500.0,2022-02
2022-02-24 18:45:00,sell,11.0,True,2500.0,-5000.0,-2500.0,2022-02
2022-02-24 19:35:00,sell,14.6,False,2500.0,0.0,2500.0,2022-02
2022-02-24 19:55:00,buy,11.3,False,2500.0,0.0,2500.0,2022-02
2022-02-24 20:30:00,sell,13.8,False,2500.0,0.0,2500.0,2022-02
2022-02-25 00:50:00,buy,21.8,False,2500.0,0.0,2500.0,2022-02
2022-02-25 04:25:00,sell,10.7,False,2500.0,0.0,2500.0,2022-02
2022-02-25 12:50:00,sell,17.2,False,-942.0,0.0,-942.0,2022-02
2022-02-25 14:55:00,buy,11.8,True,2500.0,2500.0,5000.0,2022-02
2022-02-27 22:00:00,sell,26.2,True,660.0,2500.0,3160.0,2022-02
2022-03-02 16:30:00,sell,12.0,False,2500.0,0.0,2500.0,2022-03
2022-03-03 16:10:00,buy,13.5,False,2500.0,0.0,2500.0,2022-03
2022-03-03 17:30:00,sell,15.7,False,2500.0,0.0,2500.0,2022-03
2022-03-04 00:05:00,buy,18.5,False,-3770.0,0.0,-3770.0,2022-03
2022-03-04 13:35:00,buy,11.8,True,-5000.0,-5000.0,-10000.0,2022-03
2022-03-06 23:00:00,buy,14.8,False,2500.0,0.0,2500.0,2022-03
2022-03-06 23:25:00,sell,16.6,True,-873.0,2500.0,1627.0,2022-03
2022-03-07 01:35:00,sell,12.4,True,-5000.0,-5000.0,-10000.0,2022-03
2022-03-07 12:30:00,buy,17.0,False,2500.0,0.0,2500.0,2022-03
2022-03-08 05:05:00,buy,16.5,True,-2296.0,2500.0,204.0,2022-03
2022-03-08 07:25:00,sell,12.9,False,2500.0,0.0,2500.0,2022-03
2022-03-10 13:30:00,sell,17.5,False,2500.0,0.0,2500.0,2022-03
2022-03-11 11:20:00,sell,11.2,False,-2879.0,0.0,-2879.0,2022-03
2022-03-14 16:50:00,buy,18.0,False,-623.0,0.0,-623.0,2022-03
2022-03-15 01:15:00,buy,14.6,False,-4435.0,0.0,-4435.0,2022-03
2022-03-15 15:55:00,buy,13.6,False,-533.0,0.0,-533.0,2022-03
2022-03-16 18:00:00,buy,18.7,True,-5000.0,2500.0,-2500.0,2022-03
2022-03-16 18:35:00,sell,22.8,True,-5000.0,2500.0,-2500.0,2022-03
2022-03-16 19:05:00,buy,11.0,False,2500.0,0.0,2500.0,2022-03
2022-03-18 12:50:00,buy,12.3,False,2500.0,0.0,2500.0,2022-03
2022-03-21 17:15:00,buy,11.1,False,2500.0,0.0,2500.0,2022-03
2022-03-23 09:30:00,sell,12.1,False,2500.0,0.0,2500.0,2022-03
2022-03-25 14:30:00,sell,11.3,True,2500.0,2500.0,5000.0,2022-03
2022-03-28 07:30:00,sell,13.2,False,2500.0,0.0,2500.0,2022-03
2022-03-28 13:05:00,buy,12.0,True,-104.0,2500.0,2396.0,2022-03
2022-03-29 11:45:00,sell,15.5,True,2500.0,2500.0,5000.0,2022-03
