close_time,ticket,type,lots,open_price,close_price,profit_yen,pips,open_time,hold_bars
2026.05.20 14:02,129378326,SELL,0.87,158.98600,159.04400,-5046,-5.8,2026.05.20 14:00,1
2026.05.20 17:16,129390171,BUY,0.54,159.11500,159.02300,-4968,-9.2,2026.05.20 17:00,1
2026.05.21 07:58,129400910,SELL,0.32,158.85900,159.01100,-4864,-15.2,2026.05.20 18:00,43
2026.05.28 13:14,129864485,BUY,0.39,159.49700,159.36900,-4992,-12.8,2026.05.27 18:19,89
